Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Liberal,C:Trumpet of Patriots,D:Legalise Cannabis Party,E:Animal Justice Party,F:The Greens,G:Jacqui Lambie Network,H:Libertarian,I:Pauline Hanson's One Nation,J:Citizens Party,K:Australian Labor Party,"L:Shooters, Fishers and Farmers Party",A:BILIC Dennis,A:RICHARDSON Pierre,B:CHANDLER Claire,B:COLBECK Richard Mansell,B:MARTIN Jacki,C:MOORE Wayne Leslie,C:KELLY Matt,C:SMITH Greg,D:OWEN Matt,D:HESTER Gail,E:DAVIES Casey,E:LUCAS Kate Elizabeth,F:McKIM Nick,F:BLEYER Vanessa,F:JORDAN Scott,F:HOARE Trenton,G:LAMBIE Jacqui,G:HANNAN Christine,H:ABRAHAM Chrysten,H:ARMSTRONG Nicole,I:HANSON Lee,I:DUNN James,J:STAGGARD Daryl,J:WILLIAMS Ray,K:BROWN Carol,K:DOWLING Richard,K:FALLS Bailey,K:O'DONNELL Saxon,K:LUCKMAN Greg,K:MEYERS Amelia Louise,L:BIGG Phillip,L:ROACH Melanie,UG:EDWARDS Fenella
1,1,,,,,,,,,,,,,6,7,3,,4,,,,,,,,,,,,1,5,,,2,,,,8,9,10,11,12,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,5,6,1,2,3,4,,,,,,,,,7,8,9,10,11,12,,,
1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,11,12,,,,,,,5,6,7,8,9,10,,,
1,4,,,,,,,,,,,,,9,10,,,,,,,,,11,12,1,2,3,4,5,6,,,13,14,,,,,,,,,7,8,
1,5,,,,,,,,,,,,,17,18,13,2,14,31,32,33,29,30,19,20,1,10,3,11,15,16,21,22,27,28,25,26,4,5,6,7,8,9,23,24,12
1,6,,,,,,,,,,,,,,,4,,5,,,,,,,,2,1,12,3,,,,,,,,,7,11,6,9,10,8,,,
1,7,,,,,,,,,,,,,18,19,33,32,31,30,29,28,25,24,13,14,1,2,3,4,11,12,22,23,27,26,16,17,6,5,7,8,9,10,21,20,15
1,8,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,2,5,12,,,,,,,11,10,9,8,7,6,,,
1,9,,3,2,,,,,4,6,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,5,11,4,12,2,3,9,8,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,4,,,6,3,,5,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,2,,3,,,4,,6,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,6,3,5,,,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,6,,5,,4,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,6,5,,,,3,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,,3,4,2,,6,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,3,5,,,4,,,1,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,2,3,6,7,9,8,,1,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,2,3,6,,,5,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,3,,,,6,5,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,5,4,2,,,,,,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,3,2,,6,,5,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,,4,,2,,5,,1,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,2,,,,,1,,4,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,5,,2,6,3,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,6,3,,,,,1,,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,6,1,2,,3,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,3,,,2,5,1,,,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,,,6,1,,5,,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,4,6,,,5,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,,5,,,,1,4,,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,2,7,11,3,6,1,4,10,,9,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,5,,,2,3,1,,,,6,,4,9,8,,,,,,,1,2,4,3,,5,6,,,,,,,,11,12,,,,,,,10,7,
1,34,5,10,11,4,3,1,6,7,9,12,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,4,5,,,6,1,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,3,5,6,,,1,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,6,,,3,1,2,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,,5,1,2,,6,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,,,,1,6,,2,,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,,,,1,2,,4,,5,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,,5,,1,,4,6,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,,2,,1,3,,6,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,2,,,1,3,6,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,,6,,1,,2,,5,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,5,,4,1,3,,8,,7,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
