Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Liberal,C:Trumpet of Patriots,D:Legalise Cannabis Party,E:Animal Justice Party,F:The Greens,G:Jacqui Lambie Network,H:Libertarian,I:Pauline Hanson's One Nation,J:Citizens Party,K:Australian Labor Party,"L:Shooters, Fishers and Farmers Party",A:BILIC Dennis,A:RICHARDSON Pierre,B:CHANDLER Claire,B:COLBECK Richard Mansell,B:MARTIN Jacki,C:MOORE Wayne Leslie,C:KELLY Matt,C:SMITH Greg,D:OWEN Matt,D:HESTER Gail,E:DAVIES Casey,E:LUCAS Kate Elizabeth,F:McKIM Nick,F:BLEYER Vanessa,F:JORDAN Scott,F:HOARE Trenton,G:LAMBIE Jacqui,G:HANNAN Christine,H:ABRAHAM Chrysten,H:ARMSTRONG Nicole,I:HANSON Lee,I:DUNN James,J:STAGGARD Daryl,J:WILLIAMS Ray,K:BROWN Carol,K:DOWLING Richard,K:FALLS Bailey,K:O'DONNELL Saxon,K:LUCKMAN Greg,K:MEYERS Amelia Louise,L:BIGG Phillip,L:ROACH Melanie,UG:EDWARDS Fenella
1,1,1,,,5,2,3,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,6,,,2,,5,3,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,,5,,,,3,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,6,4,,,,,2,1,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,5,2,,,6,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,2,5,3,,4,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,5,4,,,6,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,7,2,3,6,4,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,6,7,4,,,,,3,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,2,1,,6,5,3,4,,,,,,,,,,,,,,,,,1,,,,,,,,,6,5,4,3,2,,,
1,11,7,6,2,9,5,8,1,10,3,11,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,7,2,6,11,12,8,1,9,5,10,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,4,6,5,,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,3,,5,,4,1,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,6,,2,5,,1,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,2,,4,3,5,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,5,3,,6,,,1,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,4,,5,6,,1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,6,4,1,,,,,,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,3,,,1,2,,6,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,,,1,,3,4,,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,1,,4,3,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,4,3,1,,,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,3,,2,1,,4,,,5,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,3,10,1,8,4,5,9,7,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,4,3,5,1,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,5,,,1,4,6,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,6,,,1,,2,5,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,6,,2,1,5,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,4,2,,1,5,,,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,3,,4,1,,5,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,,,1,3,5,6,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,,,1,2,4,3,5,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,1,,6,3,,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,6,1,5,4,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,3,2,4,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,2,,3,4,1,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,6,,,2,3,1,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,,4,,6,5,1,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,10,12,9,2,11,1,8,6,3,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,3,8,12,6,4,1,5,9,11,7,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,3,11,10,5,2,1,6,9,8,12,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,,2,,,5,1,6,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,5,6,,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,3,4,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,5,,,4,3,1,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,2,10,9,4,3,1,8,7,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,6,,,4,5,1,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,6,,,,3,1,,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,6,,,2,3,1,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,5,4,3,,2,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,3,,6,,2,4,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,5,,,,4,3,2,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,4,12,9,3,8,5,2,7,11,6,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,4,2,,,,3,5,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,5,4,,3,2,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,,2,5,,4,3,,,6,,1,,,,,3,10,,,,,,8,9,4,,5,,6,,,,2,,,,,1,,11,,7,,,
2,9,5,2,6,8,7,3,9,10,11,4,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1,,2,6,3,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,4,3,1,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,,2,,,,4,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,2,4,5,6,7,8,10,11,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,2,5,6,,,
2,19,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,,,,2,5,4,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,,,,2,3,1,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,5,,,,1,2,6,7,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,,3,,,1,2,4,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,4,3,5,,1,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,5,,,7,1,2,6,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,,,,2,1,,,5,3,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,5,2,8,,7,,,1,3,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,8,11,9,5,7,4,3,1,6,2,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32,,,1,2,,3,4,9,5,6,7,8,,,,,,1,,,2,,3,,,4,5,6,7,8,,,,12,11,,9,10,,,,,,,
2,33,,1,2,3,4,5,6,,,,,,11,,,2,,3,,1,4,,5,,6,,7,,,8,9,10,,12,,,,,,,,,,,
2,34,,,,,,,,,,,,,,,,,,11,12,,1,2,,,,,,,,,,,,,,,5,6,7,8,9,10,3,4,
2,35,6,5,9,1,3,2,8,7,10,11,12,4,,,9,,8,7,,,1,2,3,6,11,10,12,,,,,5,,,,,4,,,,,,,,
2,36,,2,,1,,,6,,3,,5,4,,12,2,,,,11,,1,,,9,,,,8,3,,10,,4,,,7,5,,,,,,,6,
2,37,,4,,,,6,1,5,,,3,,,,9,5,8,,,,,,,,12,4,,,1,2,10,11,,,,,,3,6,7,,,,,
2,38,,,,,,,,,,,,,,,2,3,4,5,6,7,,,12,,,,,,1,8,,,9,10,,,,,,,,,,,11
2,39,,1,6,,5,,,3,2,4,,,,,2,3,4,11,12,,,,9,10,,,,,,,1,,5,6,7,8,,,,,,,,,
2,40,,,,,,,,,,,,,12,13,14,15,16,9,10,11,,,,,,,,,23,24,3,4,1,2,7,8,17,18,19,20,21,22,5,6,
2,41,,,,,,,,,,,,,9,,,,,,,,,,10,11,2,,,,4,8,,,1,,12,13,3,7,5,6,,,,,
2,42,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,10,11,12,,,,,,,1,2,3,4,5,6,,,
2,43,,,,,,,,,,,,,,,,,,,,,,,11,12,7,8,9,10,,,,,,,,,1,2,3,4,5,6,,,
2,44,,,,,,,,,,,,,4,5,,,,,,,,,,,11,12,,,3,6,,,,,,,7,2,1,8,9,10,,,
2,45,,,,,,,,,,,,,25,26,20,21,22,31,32,33,16,17,14,15,10,11,12,13,7,8,27,28,29,30,23,24,3,2,1,4,5,6,18,19,9
2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,7,8,,,6,5,2,1,3,4,9,10,
2,47,,,6,1,5,,2,,4,,3,,,,,,,11,12,,,,,,,,,,9,10,,,,,,,3,4,5,6,7,8,1,2,
2,48,,,,,,,,,,,,,29,30,1,2,3,6,7,8,27,28,25,26,24,31,32,33,12,13,22,23,4,5,20,21,14,15,16,17,18,19,10,11,9
2,49,6,1,,2,3,4,5,,,,,,,2,,1,,,,,,3,,4,,,5,,,6,,7,8,,9,,10,,,,,,,11,12
2,50,,,,,,,,,,,,,8,9,24,25,26,29,30,31,10,11,1,2,3,4,5,6,18,19,20,21,32,33,27,28,12,17,16,15,14,13,22,23,7
3,1,11,10,9,8,7,4,5,6,3,2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,5,4,6,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,,,4,,,6,,5,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,5,3,,6,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,,,5,,4,,2,,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,3,,,2,4,,,,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,,,,3,,4,2,,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,,6,,5,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,,,,2,3,5,,,,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,11,10,9,4,3,5,2,12,6,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,4,9,12,10,2,3,5,6,11,8,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,,,,,5,3,2,,6,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,4,2,5,,,,3,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,7,,,2,4,3,,,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,5,,,,3,2,6,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,3,4,5,6,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,6,,,4,,2,5,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,4,3,2,,,,5,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,,,,,4,2,5,,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,,,,2,3,,4,,5,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,,,6,,5,,,,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,,,,6,5,2,,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,5,,,,4,2,3,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,,,,3,5,4,6,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,,,,3,2,6,5,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,6,,,2,4,,3,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,,,,6,4,2,3,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,,2,,,,3,4,6,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,7,2,,,,3,4,,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,5,,,,4,3,,,,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,,,,2,6,4,3,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,4,,3,6,,,2,,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,6,2,,,3,4,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,,6,2,,,,3,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,36,,2,6,,3,,4,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37,,2,5,,,3,4,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,38,,6,4,5,,,2,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,,4,,,5,3,2,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,3,5,,4,6,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41,,,,4,5,3,2,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43,,,3,,6,,4,,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44,,4,3,9,5,2,6,,7,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45,9,12,8,3,5,2,10,7,11,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,46,,,4,6,,2,3,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,47,,6,,5,3,2,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48,,,,4,,3,2,,,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49,,,,4,5,3,2,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50,,4,,5,3,2,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,13,14,,,,,,,,,1,2,3,4,5,6,,,,,,,,,7,8,9,10,11,12,,,
4,2,2,3,5,1,4,6,,,,,,,1,,2,,,4,,,3,,6,,5,,,,7,,8,,9,,10,,11,,,,,,12,,
4,3,,,,,,,,,,,,,,,12,,,,,,,,,,1,2,4,5,3,,,,,,,,7,8,9,10,11,6,,,
4,4,,,,,,,,,,,,,19,20,21,22,23,29,31,33,5,6,14,15,1,2,3,4,13,24,17,18,32,30,25,26,7,8,9,10,11,12,27,28,16
4,5,,,,,,,,,,,,,,,,,,,,,,,11,12,1,2,3,4,,,,,,,,,5,6,7,8,9,10,,,
4,6,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,8,9,10,11,12,,6,7,
4,7,,,,,,,,,,,,,18,19,13,14,15,,,,20,21,16,17,2,1,4,5,3,6,,,,,,,7,8,9,10,11,12,,,
4,8,1,2,,,3,4,,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,,,1,,2,,,3,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,,2,1,3,,,5,,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,,6,1,3,,,4,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,,3,1,,6,,4,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,4,2,1,5,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,3,1,,,,,4,,6,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16,,1,,2,3,6,,7,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,,1,,,2,3,,4,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18,3,1,,,2,,6,,5,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,,1,2,,,5,3,,,6,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,,1,,,,,5,3,2,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,,1,5,3,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,6,1,2,,,,3,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,,1,,2,6,,3,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,,1,,,,4,3,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,6,1,5,,4,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,,1,,,,4,3,,5,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28,,1,3,,,6,4,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29,5,1,,6,,2,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,,1,2,4,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31,4,1,,,,,3,,6,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,,1,,6,5,2,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33,,1,3,6,,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34,,1,4,,5,3,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35,,1,4,,6,5,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36,7,1,,,6,,4,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,37,4,1,,,,,,3,,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,38,,1,,,,,5,3,2,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,39,,1,,6,5,,2,,3,4,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40,7,1,8,11,9,12,5,6,10,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,41,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42,,1,3,,,5,4,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43,,1,,,6,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,44,9,1,3,10,7,10,4,8,2,6,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,,5,1,,3,,,,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,46,12,10,1,4,8,9,3,11,5,2,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
