Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,5,1,6,3,2,,4,,,,,,,,,,,,,,
1,2,4,1,6,3,5,7,2,,,,,,,,,,,,,,
1,3,3,1,4,6,7,5,2,,,,,,,,,,,,,,
1,4,6,1,5,3,4,,2,,,,,,,,,,,,,,
1,5,2,1,5,4,,3,6,,,,,,,,,,,,,,
1,6,2,1,3,5,4,,6,,,1,2,,,,,,,,,,
1,7,6,1,,2,3,4,5,,,,,,,,,,,,,,
1,8,5,1,6,3,4,,2,,,,,,,,,,,,,,
1,9,4,1,5,3,4,6,2,,,,,,,,,,,,,,
1,10,4,1,5,2,,6,3,,,,,,,,,,,,,,
1,11,5,1,2,3,4,6,,,,,,,,,,,,,,,
1,12,7,1,3,2,4,5,6,,,,,,,,,,,,,,
1,13,4,1,3,2,,5,6,,,,,,,,,,,,,,
1,14,5,1,6,3,2,4,,,,,,,,,,,,,,,
1,15,6,1,,2,3,5,4,11,12,1,2,,,3,4,5,6,9,10,7,8
1,16,3,1,5,2,,4,6,,,,,,,,,,,,,,
1,17,,1,6,2,4,5,3,,,,,,,,,,,,,,
1,18,7,1,6,3,2,5,4,,,,,,,,,,,,,,
1,19,6,1,3,2,4,5,7,,,,,,,,,,,,,,
1,20,,1,5,2,4,6,3,,,,,,,,,,,,,,
1,21,7,1,2,5,4,6,3,,,,,,,,,,,,,,
1,22,3,1,4,2,5,6,7,,,,,,,,,,,,,,
1,23,5,1,2,4,,6,3,9,10,1,2,3,4,7,8,,,11,12,5,6
1,24,5,1,4,2,6,7,3,,,,,,,,,,,,,,
1,25,6,1,5,2,4,,3,,,,,,,,,,,,,,
1,26,5,1,6,3,2,7,4,,,,,,,,,,,,,,
1,27,6,1,3,2,4,5,7,,,,,,,,,,,,,,
1,28,5,1,4,2,3,6,,,,,,,,,,,,,,,
1,29,6,1,2,3,4,7,5,,,,,,,,,,,,,,
1,30,4,1,5,2,6,,3,,,,,,,,,,,,,,
1,31,5,1,3,4,6,,2,,,,,,,,,,,,,,
1,32,5,1,4,6,3,,2,,,,,,,,,,,,,,
1,33,2,1,3,5,6,,4,,,,,,,,,,,,,,
1,34,4,1,5,3,6,,2,,,,,,,,,,,,,,
1,35,4,1,5,3,6,,2,,,,,,,,,,,,,,
1,36,6,1,,2,3,5,4,,,,,,,,,,,,,,
1,37,5,1,6,2,4,7,3,,,,,,,,,,,,,,
1,38,4,1,3,2,7,6,5,,,,,,,,,,,,,,
