Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,,,,,,,,7,8,1,6,9,10,2,5,12,11,14,13,3,4
1,2,,,,,,,,5,6,1,9,7,8,2,10,12,11,13,14,3,4
1,3,,,,,,,,7,8,1,3,9,10,2,4,,,11,12,5,6
1,4,,,,,,,,7,8,1,2,11,12,5,6,9,10,,,3,4
1,5,,,,,,,,9,10,1,5,7,8,4,6,12,11,13,14,2,3
1,6,,,,,,,,9,10,1,4,7,8,2,3,12,11,,,5,6
1,7,,,,,,,,11,12,1,2,13,14,3,4,10,5,9,6,7,8
1,9,5,1,4,3,7,6,2,9,10,1,8,6,7,4,5,,,11,12,2,3
1,10,,1,2,4,5,6,7,,,1,6,2,7,,8,3,10,4,11,5,12
1,11,,,,,,,,8,7,1,2,10,9,6,5,3,4,13,14,12,11
1,12,,,,,,,,9,10,1,4,7,8,2,5,13,14,11,12,3,6
1,13,,,,,,,,9,12,1,8,10,11,2,3,6,7,,,4,5
1,14,,,,,,,,7,8,1,2,10,11,3,6,9,12,,,4,5
1,15,,,,,,,,7,8,1,2,9,10,5,6,13,14,11,12,3,4
1,16,,,,,,,,,,1,3,10,11,2,4,9,7,8,12,5,6
1,17,,,,,,,,9,10,1,3,7,8,2,4,11,12,,,5,6
1,18,,,,,,,,10,11,1,2,8,9,3,4,12,13,7,14,5,6
1,19,,,,,,,,5,6,1,4,9,10,7,8,11,12,13,14,2,3
1,20,,,,,,,,9,10,1,3,6,7,5,8,13,14,11,12,2,4
1,21,,,,,,,,9,10,1,3,7,8,5,6,,12,,11,2,4
1,22,6,1,5,3,2,,4,10,11,1,7,8,9,4,6,2,3,,12,5,
1,23,4,1,3,5,6,,2,7,8,1,2,5,6,11,12,,,9,10,3,4
1,24,,1,,,,,,,,1,,,,,,,,,,,
1,25,,,,,,,,5,6,1,4,7,8,9,10,13,14,11,12,2,3
1,26,,,,,,,,5,6,1,3,9,10,7,8,,,11,12,2,4
1,27,,1,,,,,,,,,,,,,,,,,,,
1,28,,,,,,,,9,10,1,6,7,8,2,4,11,12,,,3,5
