Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,,2,3,1,4,5,6,,,,,,,,,,,,,,
1,2,5,3,6,1,7,4,2,,,,,,,,,,,,,,
1,3,6,2,4,1,,5,3,,,,,,,,,,,,,,
1,4,4,2,5,1,,6,3,,,,,,,,,,,,,,
1,5,5,2,6,1,4,,3,,,,,,,,,,,,,,
1,6,5,,4,1,6,2,3,,,,,,,,,,,,,,
1,7,3,2,5,1,7,6,4,,,,,,,,,,,,,,
1,8,4,6,5,1,7,3,2,,,,,,,,,,,,,,
1,9,,3,5,1,2,6,4,,,,,,,,,,,,,,
1,10,5,3,4,1,7,6,2,,,,,,,,,,,,,,
1,11,3,2,,1,6,4,5,,,,,,,,,,,,,,
1,12,5,2,4,1,,6,3,,,,,,,,,,,,,,
1,13,4,3,6,1,7,5,2,,,,,,,,,,,,,,
1,14,4,2,,1,6,5,3,,,,,,,,,,,,,,
1,15,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,16,,2,3,1,6,4,5,,,,,,,,,,,,,,
1,17,5,2,6,1,4,,3,,,,,,,,,,,,,,
1,18,4,3,,1,5,6,2,,,,,,,,,,,,,,
1,19,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,20,3,2,6,1,,5,4,,,,,,,,,,,,,,
1,21,4,2,5,1,7,6,3,,,,,,,,,,,,,,
1,22,4,,3,1,6,5,2,,,,,,,,,,,,,,
1,23,4,2,6,1,7,5,3,,,,,,,,,,,,,,
1,24,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,25,5,3,7,1,4,6,2,,,,,,,,,,,,,,
1,26,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,27,5,3,7,1,2,6,4,,,,,,,,,,,,,,
1,28,4,,5,3,1,6,2,,,,,,,,,,,,,,
1,29,,3,5,1,2,6,4,,,,,,,,,,,,,,
1,30,3,5,2,1,7,4,6,,,,,,,,,,,,,,
1,31,5,3,6,1,4,,2,,,,,,,,,,,,,,
1,32,7,2,5,1,4,6,3,,,,,,,,,,,,,,
1,33,4,6,2,1,3,5,7,,,,,,,,,,,,,,
1,34,4,2,3,1,6,7,5,,,,,,,,,,,,,,
1,35,,2,4,1,5,6,3,,,,,,,,,,,,,,
1,36,6,3,4,1,2,5,,,,,,,,,,,,,,,
1,37,2,6,5,1,3,4,,,,,,,,,,,,,,,
1,38,,4,5,1,2,6,3,,,,,,,,,,,,,,
1,39,6,4,3,1,,5,2,,,,,,,,,,,,,,
1,40,5,2,,1,6,3,4,,,,,,,,,,,,,,
1,41,3,5,4,1,,6,2,,,,,,,,,,,,,,
1,42,4,2,3,1,6,5,,,,,,,,,,,,,,,
1,43,7,3,6,1,2,5,4,,,,,,,,,,,,,,
1,44,7,3,4,1,6,5,2,,,,,,,,,,,,,,
1,45,7,3,4,1,6,5,2,,,,,,,,,,,,,,
1,46,4,5,,1,2,6,3,,,,,,,,,,,,,,
1,47,3,2,4,1,5,6,7,,,,,,,,,,,,,,
1,48,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,49,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,50,5,2,4,1,6,7,3,,,,,,,,,,,,,,
2,1,2,4,5,6,1,3,,,,,,,,,,,,,,,
2,2,2,3,6,7,1,5,4,,,,,,,,,,,,,,
2,3,2,4,6,,1,3,5,,,,,,,,,,,,,,
2,4,3,5,2,6,1,4,,,,,,,,,,,,,,,
2,5,6,2,4,5,1,3,7,,,,,,,,,,,,,,
2,6,6,3,4,2,1,7,5,,,,,,,,,1,2,,,,
2,7,3,2,6,,1,4,5,,,,,,,,,,,,,,
2,8,3,2,5,7,1,4,6,,,,,,,,,,,,,,
2,9,4,5,3,,1,2,6,,,,,,,,,,,,,,
2,10,3,2,4,7,1,5,6,,,,,,,,,,,,,,
2,11,2,5,6,4,1,3,,,,,,,,,,,,,,,
2,12,6,2,5,3,1,7,4,,,,,,,,,,,,,,
2,13,5,2,4,,1,6,3,,,,,,,,,,,,,,
2,14,5,3,6,4,1,7,2,,,,,,,,,,,,,,
2,15,,6,5,3,1,2,4,,,,,,,,,,,,,,
2,16,6,4,2,5,1,3,7,,,,,,,,,,,,,,
2,17,5,2,6,7,1,4,3,,,,,,,,,,,,,,
2,18,6,2,4,3,1,5,,,,,,,,,,,,,,,
2,19,3,2,,5,1,4,6,,,,,,,,,,,,,,
2,20,4,5,3,6,1,2,7,,,,,,,,,,,,,,
2,21,4,2,5,6,1,7,3,,,,,,,,,,,,,,
2,22,6,3,,2,1,5,4,,,,,,,,,,,,,,
2,23,4,5,3,7,1,2,6,,,,,,,,,,,,,,
2,24,3,2,4,6,1,5,5,,,,,,,,,,,,,,
2,25,6,2,5,3,1,4,7,,,,,,,,,,,,,,
2,26,5,7,4,3,1,6,2,,,,,,,,,,,,,,
2,27,2,6,5,3,1,4,,,,,,,,,,,,,,,
2,28,4,3,2,,1,5,6,,,,,,,,,,,,,,
2,29,,3,4,2,1,5,6,,,,,,,,,,,,,,
2,30,7,2,3,4,1,5,6,,,,,,,,,,,,,,
2,31,6,2,4,3,1,5,,,,,,,,,,,,,,,
2,32,3,2,5,7,1,4,6,,,,,,,,,,,,,,
2,33,4,2,,6,1,5,6,,,,,,,,,,,,,,
2,34,4,5,3,,1,6,2,,,,,,,,,,,,,,
2,35,5,2,4,3,1,,6,,,,,,,,,,,,,,
2,36,5,2,6,3,1,4,7,,,,,,,,,,,,,,
2,37,,2,3,6,1,4,5,,,,,,,,,,,,,,
2,38,3,2,4,7,1,5,6,,,,,,,,,,,,,,
2,39,5,2,4,3,1,6,,,,,,,,,,,,,,,
2,40,3,5,4,6,1,2,7,,,,,,,,,,,,,,
2,41,5,4,2,3,1,6,,,,,,,,,,,,,,,
2,42,4,5,3,,1,2,6,,,,,,,,,,,,,,
2,43,,5,6,2,1,4,3,,,,,,,,,,,,,,
2,44,5,4,2,3,1,,6,,,,,,,,,,,,,,
2,45,3,2,5,6,1,4,7,,,,,,,,,,,,,,
2,46,,4,5,3,1,6,2,,,,,,,,,,,,,,
2,47,6,3,,2,1,5,4,,,,,,,,,,,,,,
2,48,6,3,5,7,1,4,2,,,,,,,,,,,,,,
2,49,4,2,3,6,1,5,7,,,,,,,,,,,,,,
2,50,5,3,6,2,1,4,,,,,,,,,,,,,,,
3,1,,2,6,3,1,4,5,,,,,,,,,,,,,,
3,2,3,2,4,6,1,5,7,,,,,,,,,,,,,,
3,3,5,4,3,7,1,2,6,,,,,,,,,,,,,,
3,4,5,3,6,4,1,,2,,,,,,,,,,,,,,
3,5,4,3,5,2,1,6,,,,,,,,,,,,,,,
3,6,5,4,3,7,1,2,6,,,,,,,,,,,,,,
3,7,3,2,4,,1,5,6,,,,,,,,,,,,,,
