Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,6,2,4,3,,5,1,,,,,,,,,,,,,,
1,2,5,4,,2,3,6,1,,,,,,,,,,,,,,
1,3,4,2,3,5,7,6,1,,,,,,,,,,,,,,
1,4,4,2,3,5,6,,1,,,,,,,,,,,,,,
1,5,4,3,2,5,6,,1,,,,,,,,,,,,,,
1,6,6,2,3,4,7,5,1,,,,,,,,,,,,,,
1,7,6,2,5,3,4,7,1,,,,,,,,,,,,,,
1,8,4,3,6,2,,5,1,,,,,,,,,,,,,,
1,9,2,4,3,5,6,,1,,,,,,,,,,,,,,
1,10,4,3,5,2,7,6,1,,,,,,,,,,,,,,
1,11,4,3,5,2,6,7,1,,,,,,,,,,,,,,
1,12,4,2,5,3,7,6,1,,,,,,,,,,,,,,
1,13,5,6,3,2,4,,1,,,,,,,,,,,,,,
1,14,6,2,5,3,4,,1,,,,,,,,,,,,,,
1,15,5,3,2,4,6,,1,,,,,,,,,,,,,,
1,16,7,2,6,3,5,4,1,,,,,,,,,,,,,,
1,17,,2,5,3,4,6,1,,,,,,,,,,,,,,
1,18,4,2,3,6,7,5,1,,,,,,,,,,,,,,
1,19,4,2,5,3,7,6,1,,,,,,,,,,,,,,
1,20,2,3,4,,5,6,1,,,,,,,,,,,,,,
1,21,5,4,7,2,3,6,1,,,,,,,,,,,,,,
1,22,4,3,4,2,5,6,1,,,,,,,,,,,,,,
1,23,2,3,,4,6,5,1,,,,,,,,,,,,,,
1,24,4,2,3,5,6,7,1,,,,,,,,,,,,,,
1,25,4,7,3,2,6,5,1,,,,,,,,,,,,,,
1,26,4,2,5,3,6,,1,,,,,,,,,,,,,,
1,27,4,6,5,2,3,,1,,,,,,,,,,,,,,
1,28,4,2,5,3,,6,1,,,,,,,,,,,,,,
1,29,5,2,4,3,7,6,1,,,,,,,,,,,,,,
1,30,5,3,4,2,6,,1,,,,,,,,,,,,,,
1,31,4,3,5,2,,6,1,,,,,,,,,,,,,,
1,32,3,5,2,4,7,6,1,,,,,,,,,,,,,,
1,33,4,2,,3,6,5,1,,,,,,,,,,,,,,
1,34,5,2,3,4,6,7,1,,,,,,,,,,,,,,
1,35,7,2,4,3,5,6,1,,,,,,,,,,,,,,
1,36,6,2,3,4,5,7,1,,,,,,,,,,,,,,
1,37,2,6,5,7,3,4,1,,,,,,,,,,,,,,
1,38,5,4,3,2,,6,1,,,,,,,,,,,,,,
1,39,5,2,4,3,7,6,1,,,,,,,,,,,,,,
1,40,3,2,5,6,7,4,1,,,,,,,,,,,,,,
1,41,4,5,2,3,6,7,1,,,,,,,,,,,,,,
1,42,4,5,3,2,6,,1,,,,,,,,,,,,,,
1,43,,2,3,4,6,5,1,,,,,,,,,,,,,,
1,44,4,3,5,2,7,6,1,,,,,,,,,,,,,,
1,45,4,2,5,3,7,6,1,,,,,,,,,,,,,,
1,46,,2,4,3,6,5,1,,,,,,,,,,,,,,
1,47,4,3,5,2,6,7,1,,,,,,,,,,,,,,
1,48,4,2,3,5,6,,1,,,,,,,,,,,,,,
1,49,4,2,5,3,,6,1,,,,,,,,,,,,,,
1,50,6,7,4,3,2,5,1,,,,,,,,,,,,,,
2,1,5,2,6,4,1,3,7,,,,,,,,,,,,,,
2,2,,2,5,6,1,3,4,,,,,,,,,,,,,,
2,3,5,4,2,,1,3,6,,,,,,,,,,,,,,
2,4,4,2,3,5,1,,6,,,,,,,,,,,,,,
2,5,5,6,4,2,1,3,7,,,,,,,,,,,,,,
2,6,4,2,,5,1,3,6,,,,,,,,,,,,,,
2,7,4,2,5,7,1,3,6,,,,,,,,,,,,,,
2,8,3,2,,4,1,6,5,,,,,,,,,,,,,,
2,9,5,2,3,4,1,6,,,,,,,,,,,,,,,
2,10,4,3,5,6,1,2,,,,,,,,,,,,,,,
2,11,7,3,5,2,1,4,6,,,,,,,,,,,,,,
2,12,4,5,2,6,1,3,,,,,,,,,,,,,,,
2,13,6,2,4,5,1,3,7,,,,,,,,,,,,,,
2,14,5,2,3,4,1,7,6,,,,,,,,,,,,,,
2,15,4,2,3,7,1,5,6,,,,,,,,,,,,,,
2,16,,2,4,6,1,3,5,,,,,,,,,,,,,,
2,17,4,2,5,3,1,6,,,,,,,,,,,,,,,
2,18,2,3,4,7,1,5,6,,,,,,,,,,,,,,
2,19,4,2,5,3,1,5,6,,,2,,,,3,,1,,,,,
2,20,3,2,5,,1,4,6,,,,,,,,,,,,,,
2,21,3,2,4,5,1,6,,,,,,,,,,,,,,,
2,22,5,2,,3,1,4,6,,,,,,,,,,,,,,
2,23,3,2,4,5,1,6,,,,,,,,,,,,,,,
2,24,4,3,5,6,1,2,7,,,,,,,,,,,,,,
2,25,4,2,3,5,1,6,,,,,,,,,,,,,,,
2,26,6,2,5,3,1,4,7,,,,,,,,,,,,,,
2,27,5,2,4,7,1,3,6,,,,,,,,,,,,,,
2,28,7,2,6,3,1,5,4,,,,,,,,,,,,,,
2,29,6,5,4,7,1,2,3,,,,,,,,,,,,,,
2,30,,2,5,3,1,4,6,,,,,,,,,,,,,,
2,31,3,2,6,,1,4,5,,,,,,,,,,,,,,
2,32,4,2,5,7,1,3,6,,,,,,,,,,,,,,
2,33,6,2,5,7,1,3,4,,,,,,,,,,,,,,
2,34,4,2,5,6,1,3,,,,,,,,,,,,,,,
2,35,5,2,6,7,1,4,3,,,,,,,,,,,,,,
2,36,6,2,7,5,1,4,3,,,,,,,,,,,,,,
2,37,3,2,5,4,1,6,,,,,,,,,,,,,,,
2,38,6,2,4,3,1,,5,,,,,,,,,,,,,,
2,39,4,3,5,2,1,6,,,,,,,,,,,,,,,
2,40,3,2,4,6,1,5,7,,,,,,,,,,,,,,
2,41,4,2,5,,1,3,6,,,,,,,,,,,,,,
2,42,5,6,,2,1,4,3,,,,,,,,,,,,,,
2,43,5,2,3,6,1,4,,,,,,,,,,,,,,,
2,44,2,4,5,6,1,3,,,,,,,,,,,,,,,
2,45,4,3,5,6,1,2,,,,,,,,,,,,,,,
2,46,4,2,5,6,1,3,,,,,,,,,,,,,,,
2,47,,2,4,3,1,5,6,,,,,,,,,,,,,,
2,48,6,2,5,3,1,4,,,,,,,,,,,,,,,
2,49,2,5,4,,1,3,6,,,,,,,,,,,,,,
2,50,3,2,4,5,1,6,7,,,,,,,,,,,,,,
3,1,6,2,3,5,1,,4,,,,,,,,,,,,,,
3,2,4,2,3,7,1,5,6,,,,,,,,,,,,,,
3,3,4,2,3,6,1,5,,,,,,,,,,,,,,,
3,4,3,5,6,2,1,4,7,,,,,,,,,,,,,,
3,5,3,2,4,6,1,5,,,,,,,,,,,,,,,
3,6,5,3,6,4,1,2,,,,,,,,,,,,,,,
3,7,,3,6,4,1,2,5,,,,,,,,,,,,,,
3,8,6,5,4,2,1,3,,,,,,,,,,,,,,,
3,9,3,2,4,6,1,5,,,,,,,,,,,,,,,
3,10,6,2,5,,1,4,3,,,,,,,,,,,,,,
3,11,6,2,7,3,1,5,4,,,,,,,,,,,,,,
3,12,3,5,2,,1,4,6,,,,,,,,,,,,,,
3,13,3,2,5,,1,4,6,,,,,,,,,,,,,,
3,14,6,2,5,3,1,7,4,,,,,,,,,,,,,,
3,15,,3,4,2,1,6,5,,,,,,,,,,,,,,
3,16,4,5,3,,1,6,2,,,,,,,,,,,,,,
3,17,5,2,6,3,1,4,7,,,,,,,,,,,,,,
3,18,2,6,3,,1,4,5,,,,,,,,,,,,,,
3,19,6,5,,4,1,3,2,,,,,,,,,,,,,,
3,20,2,3,4,5,1,6,7,,,,,,,,,,,,,,
3,21,5,2,4,3,1,6,,,,,,,,,,,,,,,
3,22,4,2,3,6,1,5,,,,,,,,,,,,,,,
3,23,4,2,,5,1,3,6,,,,,,,,,,,,,,
3,24,4,5,6,,1,3,2,,,,,,,,,,,,,,
3,25,3,2,4,6,1,5,,,,,,,,,,,,,,,
3,26,4,7,3,2,1,6,5,,,,,,,,,,,,,,
3,27,3,2,5,,1,4,6,,,,,,,,,,,,,,
3,28,,3,4,2,1,5,6,,,,,,,,,,,,,,
3,29,6,2,5,3,1,4,7,,,,,,,,,,,,,,
3,30,7,2,6,3,1,5,4,,,,,,,,,,,,,,
3,31,5,7,2,4,1,3,6,,,,,,,,,,,,,,
3,32,5,4,2,7,1,3,6,,,,,,,,,,,,,,
3,33,7,2,4,6,1,3,5,,,,,,,,,,,,,,
3,34,5,2,3,5,1,4,6,,,,,,,,,,,,,,
3,35,5,2,3,7,1,4,6,,,,,,,,,,,,,,
3,36,2,3,4,6,1,4,5,,,,,,,,,,,,,,
3,37,3,5,2,,1,4,6,,,,,,,,,,,,,,
3,38,7,2,5,3,1,4,6,,,,,,,,,,,,,,
3,39,3,2,4,,1,5,6,,,,,,,,,,,,,,
3,40,3,2,4,,1,5,6,,,,,,,,,,,,,,
3,41,7,2,5,3,1,4,6,,,,,,,,,,,,,,
3,42,6,2,3,5,1,4,6,,,,,,,,,,,,,,
3,43,6,2,3,5,1,4,,,,,,,,,,,,,,,
3,44,5,2,4,6,1,3,,,,,,,,,,,,,,,
3,45,,3,2,4,1,5,6,,,,,,,,,,,,,,
3,46,,3,4,5,1,2,6,,,,,,,,,,,,,,
3,47,,2,6,4,1,5,3,,,,,,,,,,,,,,
3,48,,5,4,6,1,3,2,,,,,,,,,,,,,,
3,49,6,4,3,5,1,2,,,,,,,,,,,,,,,
3,50,6,3,5,4,1,2,,,,,,,,,,,,,,,
4,1,5,2,4,6,1,3,7,,,,,,,,,,,,,,
4,2,4,2,5,6,1,3,7,,,,,,,,,,,,,,
4,3,6,2,5,3,1,4,7,,,,,,,,,,,,,,
4,4,4,2,5,6,1,3,,,,,,,,,,,,,,,
4,5,5,3,4,6,1,2,,,,,,,,,,,,,,,
4,6,5,2,4,3,1,6,7,,,,,,,,,,,,,,
4,7,4,3,6,2,1,5,7,,,,,,,,,,,,,,
4,8,5,2,4,6,1,,3,,,,,,,,,,,,,,
4,9,6,5,2,7,1,3,4,,,,,,,,,,,,,,
4,10,4,2,5,,1,6,3,,,,,,,,,,,,,,
4,11,4,2,5,6,1,3,7,,,,,,,,,,,,,,
4,12,,2,5,3,1,6,4,,,,,,,,,,,,,,
4,13,5,2,3,,1,4,6,,,,,,,,,,,,,,
4,14,6,2,,3,1,5,4,,,,,,,,,,,,,,
4,15,4,2,3,6,1,5,,,,,,,,,,,,,,,
4,16,,2,5,4,1,3,6,,,,,,,,,,,,,,
4,17,6,5,2,3,1,4,7,,,,,,,,,,,,,,
4,18,2,3,4,5,1,6,7,,,,,,,,,,,,,,
4,19,4,3,5,6,1,,2,,,,,,,,,,,,,,
4,20,,3,5,4,1,2,6,,,,,,,,,,,,,,
4,21,3,4,6,7,1,2,5,,,,,,,,,,,,,,
4,22,3,2,5,6,1,4,7,,,,,,,,,,,,,,
4,23,2,3,5,,1,4,6,,,,,,,,,,,,,,
4,24,5,6,,2,1,3,4,,,,,,,,,,,,,,
4,25,5,3,6,2,1,,4,,,,,,,,,,,,,,
4,26,5,3,4,2,1,7,6,,,,,,,,,,,,,,
4,27,3,2,5,,1,4,6,,,,,,,,,,,,,,
4,28,5,3,4,,1,6,2,,,,,,,,,,,,,,
4,29,5,2,4,3,1,6,,,,,,,,,,,,,,,
4,30,4,3,6,2,1,,5,,,,,,,,,,,,,,
4,31,,2,6,3,1,5,4,,,,,,,,,,,,,,
4,32,6,2,5,3,1,,4,,,,,,,,,,,,,,
4,33,3,2,5,6,1,4,,,,,,,,,,,,,,,
4,34,7,4,5,2,1,3,6,,,,,,,,,,,,,,
4,35,6,4,5,3,1,2,7,,,,,,,,,,,,,,
4,36,4,3,5,2,1,6,,,,,,,,,,,,,,,
4,37,5,3,4,2,1,,6,,,,,,,,,,,,,,
4,38,,4,3,5,1,2,6,,,,,,,,,,,,,,
4,39,4,5,3,,1,2,6,,,,,,,,,,,,,,
4,40,4,2,3,6,1,5,,,,,,,,,,,,,,,
4,41,2,3,6,4,1,5,,,,,,,,,,,,,,,
4,42,5,2,6,4,1,3,7,,,,,,,,,,,,,,
4,43,5,2,,3,1,6,4,,,,,,,,,,,,,,
4,44,5,2,,3,1,6,4,,,,,,,,,,,,,,
4,45,7,4,6,5,1,3,2,,,,,,,,,,,,,,
4,46,2,5,4,6,1,3,,,,,,,,,,,,,,,
4,47,4,2,,3,1,5,6,,,,,,,,,,,,,,
4,48,4,2,3,6,1,5,,,,,,,,,,,,,,,
4,49,,3,2,4,1,6,5,,,,,,,,,,,,,,
4,50,5,2,7,3,1,4,6,,,,,,,,,,,,,,
5,1,3,2,6,4,1,5,7,,,,,,,,,,,,,,
