Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,6,2,3,,1,4,5,,,,,,,,,,,,,,
1,2,,3,5,2,1,6,4,,,,,,,,,,,,,,
1,3,2,5,3,6,1,4,,,,,,,,,,,,,,,
1,4,3,2,5,,1,4,6,,,,,,,,,,,,,,
1,5,7,3,6,2,1,4,5,,,,,,,,,,,,,,
1,6,4,2,3,6,1,,5,,,,,,,,,,,,,,
1,7,4,3,,2,1,5,6,,,,,,,,,,,,,,
1,8,4,2,7,3,1,5,6,,,,,,,,,,,,,,
1,9,5,2,4,,1,3,6,,,,,,,,,,,,,,
1,10,6,2,5,3,1,,4,,,,,,,,,,,,,,
1,11,5,2,4,6,1,3,,,,,,,,,,,,,,,
1,12,,2,6,4,1,5,3,,,,,,,,,,,,,,
1,13,,2,4,5,1,3,6,,,,,,,,,,,,,,
1,14,2,5,3,4,1,6,,,,,,,,,,,,,,,
1,15,3,4,5,2,1,7,6,,,,,,,,,,,,,,
1,16,5,2,3,4,1,6,,,,,,,,,,,,,,,
1,17,5,6,4,3,1,2,,,,,,,,,,,,,,,
1,18,5,4,6,2,1,3,,,,,,,,,,,,,,,
1,19,5,2,3,7,1,4,6,,,,,,,,,,,,,,
1,20,2,3,5,6,1,4,,,,,,,,,,,,,,,
1,21,5,2,4,3,1,6,,,,,,,,,,,,,,,
1,22,5,2,3,4,1,6,,,,,,,,,,,,,,,
1,23,3,5,4,,1,2,6,,,,,,,,,,,,,,
1,24,,3,4,2,1,5,6,,,,,,,,,,,,,,
1,25,3,2,7,6,1,4,5,,,,,,,,,,,,,,
1,26,,2,4,6,1,5,3,,,,,,,,,,,,,,
1,27,5,4,3,2,1,6,,,,,,,,,,,,,,,
1,28,3,4,5,6,1,2,7,,,,,,,,,,,,,,
1,29,3,2,4,5,1,,6,,,,,,,,,,,,,,
1,30,4,5,2,7,1,3,6,,,,,,,,,,,,,,
1,31,6,4,3,2,1,,5,,,,,,,,,,,,,,
1,32,6,4,3,2,1,5,7,,,,,,,,,,,,,,
1,33,,3,2,6,1,4,5,,,,,,,,,,,,,,
1,34,,4,3,5,1,2,6,,,,,,,,,,,,,,
1,35,4,2,3,6,1,5,,,,,,,,,,,,,,,
1,36,3,2,4,6,1,5,,,,,,,,,,,,,,,
1,37,2,6,4,5,1,3,,,,,,,,,,,,,,,
1,38,5,3,4,6,1,2,7,,,,,,,,,,,,,,
1,39,,,,,1,,,,,,,,,,,,,,,,
1,40,6,2,4,5,1,3,,,,,,,,,,,,,,,
1,41,3,4,5,6,1,7,2,,,,,,,,,,,,,,
1,42,4,2,5,6,1,,3,,,,,,,,,,,,,,
1,43,4,5,2,,1,3,6,,,,,,,,,,,,,,
1,44,4,3,2,7,1,5,6,,,,,,,,,,,,,,
1,45,4,2,3,6,1,5,7,,,,,,,,,,,,,,
1,46,6,2,4,5,1,3,7,,,,,,,,,,,,,,
1,47,4,6,3,,1,2,5,,,,,,,,,,,,,,
1,48,,2,3,6,1,4,5,,,,,,,,,,,,,,
1,49,7,4,2,5,1,3,6,,,,,,,,,,,,,,
1,50,3,4,5,,1,2,6,,,,,,,,,,,,,,
2,1,4,5,7,6,1,2,3,,,,,,,,,,,,,,
2,2,5,3,2,6,1,4,,,,,,,,,,,,,,,
2,3,7,2,6,3,1,5,4,,,,,,,,,,,,,,
2,4,7,3,6,2,1,4,5,,,,,,,,,,,,,,
2,5,2,6,3,5,1,4,,,,,,,,,,,,,,,
2,6,,2,6,4,1,5,3,,,,,,,,,,,,,,
2,7,6,2,3,4,1,,5,,,,,,,,,,,,,,
2,8,4,2,5,6,1,3,,,,,,,,,,,,,,,
2,9,3,2,7,5,1,4,6,,,,,,,,,,,,,,
2,10,3,2,5,,1,4,6,,,,,,,,,,,,,,
2,11,,,,6,1,,,,,,,,,,,,,,,,
2,12,3,4,6,2,1,5,,,,,,,,,,,,,,,
2,13,4,6,3,5,1,2,,,,,,,,,,,,,,,
2,14,,3,4,6,1,2,5,,,,,,,,,,,,,,
2,15,4,5,2,6,1,3,7,,,,,,,,,,,,,,
2,16,,2,4,5,1,6,3,,,,,,,,,,,,,,
2,17,,2,6,5,1,4,3,,,,,,,,,,,,,,
2,18,5,7,2,6,1,3,4,,,,,,,,,,,,,,
2,19,2,5,4,6,1,3,,,,,,,,,,,,,,,
2,20,3,6,5,4,1,2,7,,,,,,,,,,,,,,
2,21,2,5,3,6,1,4,7,,,,,,,,,,,,,,
2,22,6,4,3,5,1,2,,,,,,,,,,,,,,,
2,23,4,3,,2,1,5,6,,,,,,,,,,,,,,
2,24,,3,4,5,1,2,6,,,,,,,,,,,,,,
2,25,3,,5,4,1,2,6,,,,,,,,,,,,,,
2,26,,3,6,2,1,5,4,,,,,,,,,,,,,,
2,27,2,6,4,5,1,3,,,,,,,,,,,,,,,
2,28,7,4,6,3,1,5,2,,,,,,,,,,,,,,
2,29,4,5,2,6,1,3,,,,,,,,,,,,,,,
2,30,5,3,,2,1,6,4,,,,,,,,,,,,,,
2,31,,2,6,4,1,3,5,,,,,,,,,,,,,,
2,32,5,3,4,6,1,2,7,,,,,,,,,,,,,,
2,33,4,5,3,2,1,6,7,,,,,,,,,,,,,,
2,34,2,4,5,,1,3,6,,,,,,,,,,,,,,
2,35,6,2,3,5,1,4,7,,,,,,,,,,,,,,
2,36,,2,4,5,1,3,6,,,,,,,,,,,,,,
2,37,5,3,4,6,1,2,,,,,,,,,,,,,,,
2,38,,4,3,5,1,2,6,,,,,,,,,,,,,,
2,39,6,5,3,2,1,4,,,,,,,,,,,,,,,
2,40,4,5,2,6,1,3,,,,,,,,,,,,,,,
2,41,4,5,2,6,1,3,,,,,,,,,,,,,,,
2,42,5,3,4,6,1,2,7,,,,,,,,,,,,,,
2,43,6,4,3,2,1,5,,,,,,,,,,,,,,,
2,44,4,2,5,6,1,3,7,,,,,,,,,,,,,,
2,45,4,2,,3,1,5,6,,,,,,,,,,,,,,
2,46,2,4,,6,1,3,5,,,,,,,,,,,,,,
2,47,5,2,4,,1,6,3,,,,,,,,,,,,,,
2,48,4,3,2,5,1,,6,,,,,,,,,,,,,,
2,49,2,6,5,3,1,4,,,,,,,,,,,,,,,
2,50,5,6,4,3,1,2,,,,,,,,,,,,,,,
3,1,2,4,,5,1,3,6,,,,,,,,,,,,,,
3,2,5,3,6,4,1,2,,,,,,,,,,,,,,,
3,3,3,5,4,6,1,2,7,,,,,,,,,,,,,,
3,4,5,2,6,4,1,3,7,,,,,,,,,,,,,,
3,5,6,2,5,4,1,3,7,,,,,,,,,,,,,,
3,6,,,,,1,,,,,,,,,,,,,,,,
3,7,,4,3,2,1,5,6,,,,,,,,,,,,,,
3,8,3,2,,5,1,4,6,,,,,,,,,,,,,,
3,9,2,4,7,3,1,6,5,,,,,,,,,,,,,,
3,10,,4,5,3,1,2,6,,,,,,,,,,,,,,
3,11,6,2,3,4,1,5,7,,,,,,,,,,,,,,
3,12,5,3,2,,1,4,6,,,,,,,,,,,,,,
3,13,4,6,2,,1,3,5,,,,,,,,,,,,,,
