Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,,,,,,,,2,6,1,5,7,8,11,12,,,9,10,3,4
1,11,3,2,5,,6,1,4,,,,,,,,,,,,,,
1,12,5,2,3,4,6,1,,,,,,,,,,,,,,,
1,13,4,5,,3,2,1,6,,,,,,,,,,,,,,
1,21,,,,,1,,,,,1,,,,,,1,,,,,
1,22,1,,,,,,,,,,,,,,,,,,,,
1,23,1,5,3,,6,4,2,,,,,,,,,,,,,,
1,24,1,4,5,2,,6,3,,,,,,,,,,,,,,
1,25,1,6,5,4,3,,2,,,,,,,,,,,,,,
1,26,1,4,2,3,,,,,,,,,,,,,,,,,
1,27,2,5,1,,6,4,3,,,,,,,,,,,,,,
1,28,,5,1,2,6,3,4,,,,,,,,,,,,,,
1,29,4,2,1,5,6,3,,,,,,,,,,,,,,,
1,30,5,6,4,3,2,1,,,,,,,,,,,,,,,
1,31,,,,,,,,12,10,5,11,1,,2,8,3,9,,7,4,6
1,32,,,,,,,,3,4,5,6,13,14,1,2,9,10,11,12,7,8
1,33,,,,,,,,7,8,12,9,3,4,1,2,11,10,5,6,,
1,34,,,,,,,,9,10,3,6,11,12,1,2,13,14,7,8,4,5
1,35,4,5,3,1,7,6,2,,,1,,,,2,,,,,,,
1,36,5,1,4,,2,6,3,,,,,,,,,,,,,,
1,37,4,1,5,6,,2,3,,,,,,,,,,,,,,
1,38,6,1,5,3,2,,4,,,,,,,,,,,,,,
1,39,6,1,5,3,7,4,2,,,,,,,,,,,,,,
1,40,4,1,3,6,7,5,2,,,,,,,,,,,,,,
1,41,,,,,,,,7,8,1,2,5,6,11,12,3,4,7,8,9,10
1,42,,,,,,,,11,12,1,2,5,6,9,10,7,8,3,4,13,14
1,43,,,,,,,,5,6,1,2,9,10,11,12,13,14,7,8,3,4
1,46,,1,,,2,,,,,1,,,,,,,,,,,
1,47,5,1,4,3,2,6,7,4,5,1,2,2,3,6,7,8,9,10,11,12,
1,48,,1,,,,,,,,1,,,,,,,,,,,
1,49,2,1,3,5,6,4,,2,3,1,8,4,7,9,10,12,11,6,5,,
1,50,,,,,,,,7,8,9,10,5,6,3,4,,,11,12,1,2
2,1,6,1,7,3,2,5,4,,,,,,,,,,,,,,
2,2,5,1,,3,4,6,2,,,,,,,,,,,,,,
2,3,3,1,5,6,,4,2,,,,,,,,,,,,,,
2,4,,1,6,3,2,4,5,,,,,,,,,,,,,,
2,10,,1,,,,,,,,1,,,,,,,,,,,
2,13,,,,,1,,,,,,,,,,,,,,,,
2,14,2,6,4,,1,3,5,,,,,,,,,,,,,,
2,15,6,5,7,4,1,2,3,,,,,,,,,,,,,,
2,16,3,2,4,6,1,5,7,,,,,,,,,,,,,,
2,17,5,3,6,4,1,2,,,,,,,,,,,,,,,
2,18,,2,3,5,1,4,6,,,,,,,,,,,,,,
2,19,3,5,4,2,1,6,7,,,,,,,,,,,,,,
2,20,4,5,3,,1,2,,,,,,,,,,,,,,,
2,21,4,2,6,7,1,5,3,,,,,,,,,,,,,,
2,22,5,2,4,6,1,3,,,,,,,,,,,,,,,
2,23,5,3,,2,1,4,6,,,,,,,,,,,,,,
2,24,6,3,5,2,1,,4,,,,,,,,,,,,,,
2,25,4,5,,2,1,3,6,,,,,,,,,,,,,,
2,26,5,4,6,2,1,7,3,,,,,,,,,,,,,,
2,27,4,3,6,2,1,5,7,,,,,,,,,,,,,,
2,28,3,4,5,2,1,,6,,,,,,,,,,,,,,
2,29,,3,5,6,1,4,2,,,,,,,,,,,,,,
2,30,6,2,4,3,1,5,7,,,,,,,,,,,,,,
2,31,5,2,3,,1,4,6,,,,,,,,,,,,,,
2,32,5,2,4,,1,6,3,,,,,,,,,,,,,,
2,33,6,5,3,,1,4,2,,,,,,,,,,,,,,
2,34,,6,5,3,1,4,2,,,,,,,,,,,,,,
2,35,5,2,3,,1,6,4,,,,,,,,,,,,,,
2,36,6,2,7,5,1,4,3,,,,,,,,,,,,,,
2,37,4,2,5,,1,6,3,,,,,,,,,,,,,,
2,38,5,4,6,,1,2,3,,,,,,,,,,,,,,
2,39,2,4,3,5,1,6,,,,,,,,,,,,,,,
2,40,5,2,4,,1,6,3,,,,,,,,,,,,,,
2,41,3,2,4,5,1,6,7,,,,,,,,,,,,,,
2,42,6,5,4,7,1,3,2,,,,,,,,,,,,,,
2,43,4,2,3,6,1,5,,,,,,,,,,,,,,,
2,44,,2,4,3,1,5,6,,,,,,,,,,,,,,
2,45,5,2,3,,1,4,6,,,,,,,,,,,,,,
2,46,5,2,4,,1,3,6,,,,,,,,,,,,,,
2,47,3,2,4,6,1,5,,,,,,,,,,,,,,,
2,48,4,,6,5,1,2,3,,,,,,,,,,,,,,
2,49,5,2,4,,1,6,3,,,,,,,,,,,,,,
2,50,,,,,,,,6,11,1,9,7,,3,2,,12,8,10,4,5
3,1,,1,,,,,,,,1,1,,,,,,,,,,
3,2,5,1,,2,4,6,3,,,,,,,,,,,,,,
3,3,3,1,5,4,6,7,2,,,,,,,,,,,,,,
3,4,3,1,4,5,6,7,2,,,,,,,,,,,,,,
3,5,5,1,4,,3,2,6,,,,,,,,,,,,,,
3,6,,1,,,,,,,,,,,,,,,,,,,
3,7,6,1,5,2,,4,3,,,,,,,,,,,,,,
3,8,4,1,5,2,6,,3,,,,,,,,,,,,,,
3,9,,1,6,3,2,4,5,,,,,,,,,,,,,,
3,10,5,1,4,3,6,7,2,,,,,,,,,,,,,,
3,11,,,,1,,,,,,,,,,,,,,,,,
3,12,5,2,,1,6,4,3,,,,,,,,,,,,,,
3,13,5,4,6,1,3,,2,,,,,,,,,,,,,,
3,14,4,3,6,1,,5,2,,,,,,,,,,,,,,
3,15,6,2,4,1,7,5,3,,,,,,,,,,,,,,
3,16,4,3,6,1,,5,2,,,,,,,,,,,,,,
3,17,,2,3,1,4,6,5,,,,,,,,,,,,,,
3,18,5,6,2,1,4,3,7,,,,,,,,,,,,,,
