Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,3,2,1,,6,,4,5,,,,,,,,,,,,,,,,,
1,2,4,7,1,2,3,8,5,6,,,,,,,,,,,,,,,,,
1,3,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,4,6,,1,3,2,,4,5,,,,,,,,,,,,,,,,,
1,5,3,4,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,6,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,7,5,,1,2,6,,3,4,,,,,,,,,,,,,,,,,
1,8,5,2,1,,3,,6,4,,,,,,,,,,,,,,,,,
1,9,6,3,1,4,2,5,,,,,,,,,,,,,,,,,,,
1,10,6,4,1,3,2,,5,,,,,,,,,,,,,,,,,,
1,11,4,3,1,5,2,8,7,6,,,,,,,,,,,,,,,,,
1,12,3,4,1,,2,5,6,,,,,,,,,,,,,,,,,,
1,13,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,14,4,3,1,,2,,5,6,,,,,,,,,,,,,,,,,
1,15,,6,1,2,5,3,4,,,,,,,,,,,,,,,,,,
1,16,3,2,1,5,4,6,,,,,,,,,,,,,,,,,,,
1,17,7,6,1,8,4,5,2,3,,,,,,,,,,,,,,,,,
1,19,4,3,1,7,2,8,5,6,,,,,,,,,,,,,,,,,
1,20,4,3,1,6,2,,5,,,,,,,,,,,,,,,,,,
1,21,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,22,3,4,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,23,5,7,1,2,4,8,3,6,,,,,,,,,,,,,,,,,
1,24,4,5,1,6,2,,3,,,,,,,,,,,,,,,,,,
1,25,5,,1,3,2,6,4,,,,,,,,,,,,,,,,,,
1,26,3,,1,6,2,,5,4,,,,,,,,,,,,,,,,,
1,27,5,4,1,2,3,,6,,,,,,,,,,,,,,,,,,
1,28,5,3,1,,2,,4,6,,,,,,,,,,,,,,,,,
1,29,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,30,4,3,1,7,2,8,5,6,,,,,,,,,,,,,,,,,
1,31,3,8,1,4,2,7,5,6,,,,,,,,,,,,,,,,,
1,32,3,4,1,5,2,8,7,6,,,,,,,,,,,,,,,,,
1,33,6,,1,3,2,,4,5,,,,,,,,,,,,,,,,,
1,34,6,7,1,3,2,5,4,8,,,,,,,,,,,,,,,,,
