Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,5,4,1,2,3,6,7,,,,,,,,,,,,,,,,,,
1,2,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,3,6,,2,1,5,4,3,,,,,,,,,,,,,,,,,,
1,4,6,4,7,1,,2,5,3,,,,,,,1,,,,,,,,,,
1,5,3,2,6,1,5,4,,,,,,,,,,,,,,,,,,,
1,6,,,,1,5,2,3,4,,,,,,,,,,,,,,,,,
1,7,6,8,2,1,3,5,4,7,,,,,,,,,,,,,,,,,
1,8,,3,6,1,2,,4,5,,,,,,,,,,,,,,,,,
1,9,,,4,1,5,2,3,6,,,,,,,,,,,,,,,,,
1,10,7,2,4,1,6,8,3,5,,,,,,,,,,,,,,,,,
1,11,,4,3,1,7,2,6,5,,,,,,,,,,,,,,,,,
1,12,4,8,5,1,2,3,6,7,,,,,,,,,,,,,,,,,
1,13,6,3,2,1,4,5,,,,,,,,,,,,,,,,,,,
1,14,3,6,8,1,7,2,4,5,,,,,,,,,,,,,,,,,
1,15,5,6,7,1,8,2,3,4,,,,,,,,,,,,,,,,,
1,16,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,17,6,5,4,1,8,2,7,3,,,,,,,,,,,,,,,,,
1,18,6,5,8,1,7,2,4,3,,,,,,,,,,,,,,,,,
1,19,2,6,1,4,,,3,5,,,,,,,,,,,,,,,,,
1,20,7,,1,3,2,6,4,5,,,,,,,,,,,,,,,,,
1,21,8,7,1,2,4,3,5,6,,,,,,,,,,,,,,,,,
1,22,4,5,1,3,2,,,,,,,,,,,,,,,,,,,,
1,23,,,1,2,3,,,,8,9,7,10,1,3,2,4,5,6,7,8,9,11,10,12,13
1,24,8,7,1,6,2,5,3,4,,,,,,,,,,,,,,,,,
1,25,3,,1,4,5,6,,2,,,,,,,,,,,,,,,,,
1,26,3,2,1,4,5,6,,,,,,,,,,,,,,,,,,,
1,27,3,7,1,4,2,8,5,6,,,,,,,,,,,,,,,,,
1,28,2,3,1,5,6,7,8,,,,,,,,,,,,,,,,,,
1,29,2,,1,5,6,3,4,,,,,,,,,,,,,,,,,,
1,30,4,6,1,3,2,8,7,5,,,,,,,,,,,,,,,,,
1,31,,3,1,8,2,4,6,5,,,,,,,,,,,,,,,,,
1,32,4,7,1,3,2,8,6,5,,,,,,,,,,,,,,,,,
1,33,4,3,1,2,5,6,7,8,,,,,,,,,,,,,,,,,
1,34,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,35,5,3,1,6,2,7,8,4,,,,,,,,,,,,,,,,,
1,36,,,1,6,2,3,4,5,,,,,,,,,,,,,,,,,
1,37,3,2,1,4,5,6,,,,,,,,,,,,,,,,,,,
1,38,4,3,1,5,6,,,2,,,,,,,,,,,,,,,,,
1,39,2,,1,6,3,5,4,,,,,,,,,,,,,,,,,,
1,40,,6,1,2,3,5,4,,,,,,,,,,,,,,,,,,
1,41,5,6,1,7,3,4,,2,,,,,,,,,,,,,,,,,
1,42,4,3,1,2,5,6,7,8,,,,,,,,,,,,,,,,,
1,43,4,,1,3,2,,5,6,,,,,,,,,,,,,,,,,
1,44,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,45,2,,1,3,5,,6,4,,,,,,,,,,,,,,,,,
1,46,8,7,1,6,5,4,3,2,,,,,,,,,,,,,,,,,
1,47,,6,1,2,4,3,5,,,,,,,,,,,,,,,,,,
1,48,4,5,1,2,3,6,7,8,,,,,,,,,,,,,,,,,
1,49,3,,1,2,5,,4,6,,,,,,,,,,,,,,,,,
1,50,4,5,1,6,3,8,2,7,,,,,,,,,,,,,,,,,
2,1,4,8,1,3,2,7,5,6,,,,,,,,,,,,,,,,,
2,2,5,2,1,,3,,6,4,,,,,,,,,,,,,,,,,
2,3,,7,1,6,5,4,3,2,,,,,,,,,,,,,,,,,
2,4,6,8,1,4,2,7,5,3,,,,,,,,,,,,,,,,,
2,5,3,5,1,7,2,6,8,4,,,,,,,,,,,,,,,,,
2,6,6,5,1,7,3,4,2,8,,,,,,,,,,,,,,,,,
2,7,2,,1,3,6,4,5,,,,,,,,,,,,,,,,,,
2,8,4,,1,2,3,5,6,,,,,,,,,,,,,,,,,,
2,9,,,1,3,2,4,5,6,,,,,,,,,,,,,,,,,
2,10,,7,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
2,11,4,5,1,3,2,6,,,,,,,,,,,,,,,,,,,
2,12,3,4,1,,2,6,5,,,,,,,,,,,,,,,,,,
2,13,,,1,2,3,5,6,4,,,,,,,,,,,,,,,,,
2,14,6,,1,5,4,3,2,,,,,,,,,,,,,,,,,,
2,15,4,5,1,3,2,,6,,,,,,,,,,,,,,,,,,
2,16,3,,1,2,4,6,5,,,,,,,,,,,,,,,,,,
2,17,4,,1,3,2,,6,5,,,,,,,,,,,,,,,,,
2,18,5,,1,4,2,,3,6,,,,,,,,,,,,,,,,,
2,19,8,7,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
2,20,6,5,1,7,2,8,3,4,,,,,,,,,,,,,,,,,
2,21,5,3,1,,2,,4,6,,,,,,,,,,,,,,,,,
2,22,6,5,1,,2,,3,4,,,,,,,,,,,,,,,,,
2,23,4,3,1,5,2,8,6,7,,,,,,,,,,,,,,,,,
2,25,5,8,1,2,3,4,6,7,,,,,,,,,,,,,,,,,
2,26,6,5,1,7,2,,3,4,,,,,,,,,,,,,,,,,
2,27,3,2,1,,4,,5,6,,,,,,,,,,,,,,,,,
2,28,4,6,1,2,3,,5,,,,,,,,,,,,,,,,,,
2,29,5,4,1,2,8,3,6,7,,,,,,,,,,,,,,,,,
2,30,5,4,1,2,3,,6,7,,,,,,,,,,,,,,,,,
2,31,3,,1,2,5,,4,6,,,,,,,,,,,,,,,,,
2,32,,,1,3,2,4,5,6,,,,,,,,,,,,,,,,,
2,33,5,4,1,7,2,8,6,3,,,,,,,,,,,,,,,,,
2,34,3,5,1,4,2,8,7,6,,,,,,,,,,,,,,,,,
2,35,5,6,1,2,4,3,,7,,,,,,,,,,,,,,,,,
2,36,2,3,1,6,5,4,7,8,,,,,,,,,,,,,,,,,
2,37,6,4,1,3,2,5,7,8,,,,,,,,,,,,,,,,,
2,38,5,4,1,3,2,8,7,6,,,,,,,,,,,,,,,,,
2,39,,4,1,5,2,3,6,,,,,,,,,,,,,,,,,,
2,40,2,3,1,4,5,6,,,,,,,,,,,,,,,,,,,
2,41,5,4,1,6,2,3,,,,,,,,,,,,,,,,,,,
2,42,6,5,1,,2,,3,4,,,,,,,,,,,,,,,,,
2,43,,6,1,5,2,,3,4,,,,,,,,,,,,,,,,,
2,44,5,6,1,2,7,,4,3,,,,,,,,,,,,,,,,,
2,45,6,,1,2,5,,4,3,,,,,,,,,,,,,,,,,
2,46,8,5,1,6,2,3,4,7,,,,,,,,,,,,,,,,,
2,47,8,7,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
2,48,5,4,1,2,3,6,7,8,,,,,,,,,,,,,,,,,
2,49,3,2,1,4,5,6,8,7,,,,,,,,,,,,,,,,,
2,50,3,4,1,2,5,,6,,,,,,,,,,,,,,,,,,
