Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,,6,5,3,,2,4,1,,,,,,,,,,,,,,,,,
1,2,5,6,2,3,7,4,8,1,,,,,,,,,,,,,,,,,
1,3,4,2,3,5,6,7,1,8,,,,,,,,,,,,,,,,,
1,4,4,5,3,8,7,2,1,6,,,,,,,,,,,,,,,,,
1,5,6,2,,4,7,5,1,3,,,,,,,,,,,,,,,,,
1,6,6,4,8,2,5,7,1,3,,,,,,,,,,,,,,,,,
1,7,4,3,7,2,8,1,5,6,,,,,,,,,,,,,,,,,
1,8,5,3,,2,,1,4,6,,,,,,,,,,,,,,,,,
1,9,,2,7,4,3,1,5,6,,,3,4,,,1,2,5,6,7,8,9,10,11,12,
1,10,6,,2,3,1,6,5,4,,,,,,,,,,,,,,,,,
1,11,3,2,8,7,6,1,4,5,,,,,,,,,,,,,,,,,
1,12,5,4,2,7,8,1,6,3,,,,,,,,,,,,,,,,,
1,13,3,,6,2,,1,5,4,,,,,,,,,,,,,,,,,
1,14,,8,3,1,4,7,6,2,2,1,3,4,14,15,,5,6,7,8,9,10,11,12,13,16
1,15,,,,,,,,,8,7,11,10,1,2,5,6,3,4,,,,12,,,9
1,16,,,,,,,,,4,6,12,,1,2,,,3,5,,,8,10,9,11,7
1,17,,,,,,,,,7,8,3,4,1,2,,,5,6,,,12,13,10,11,9
1,18,3,8,2,1,4,7,5,6,17,16,14,15,1,2,3,4,5,6,9,10,7,8,11,12,13
1,20,,,,,,,,,10,8,,,1,2,11,9,3,4,,,,12,7,6,5
1,21,,,,,,,,,7,6,12,11,3,4,1,2,,,5,,10,9,,,8
1,22,,,,,,,,,6,8,10,,1,2,12,,5,3,11,,7,9,,,4
1,24,,,,,,,,,11,12,7,8,3,4,1,2,,,5,6,9,10,,,
1,25,,,,,,,,,12,,,,,,1,2,3,4,7,8,5,6,9,10,11
1,26,,,,,,,,,11,12,10,9,2,4,1,3,5,6,,,,,8,7,
1,27,,,,,,,,,7,8,,,12,11,1,2,,,3,4,5,6,,10,9
1,28,3,,6,1,5,4,2,,1,10,2,11,3,12,4,,5,,6,,7,,8,,9
1,29,,,,,,,,,10,9,8,7,17,16,1,2,15,14,3,4,5,6,13,12,11
1,30,,,,,,,,,,,9,8,4,5,7,6,1,2,12,13,14,15,10,11,3
1,31,,,,,,,,,,,4,5,10,11,,12,1,2,8,9,6,7,,,3
1,32,5,4,3,2,1,,,6,6,7,5,8,3,9,4,10,1,11,2,12,13,14,16,15,17
1,33,,,,,,,,,5,6,3,4,7,8,17,16,1,2,15,14,11,12,13,9,10
1,34,,,,,,,,,12,13,3,4,14,15,11,10,16,17,1,2,8,5,6,9,7
1,35,,,,,,,,,3,4,,,12,11,10,9,5,,1,2,,,8,7,6
1,36,5,3,8,2,6,1,4,7,9,10,3,4,,,,,7,8,1,2,5,6,13,12,11
1,37,,,,,,,,,3,4,13,14,11,12,7,8,15,16,1,2,5,6,9,10,17
1,38,7,4,1,2,3,8,6,5,17,3,5,8,16,4,9,15,10,7,13,1,11,2,14,6,12
1,39,,,,,,,,,,8,,7,2,12,6,10,3,9,4,1,13,5,11,,
1,40,,,,,,1,,,,,,,,,,,,,1,2,,,,,
1,41,,,,,,1,,,,,,,,,,,,,1,,,,,,
1,42,,,,,,,,,16,17,3,4,12,13,14,15,10,11,8,9,1,2,6,7,5
1,43,,,,,,,,,14,15,7,8,11,12,9,10,16,17,5,6,3,4,1,2,13
1,45,,,,,,,,,7,6,8,9,,,12,,,,11,10,4,3,1,2,5
1,46,1,2,3,4,5,6,7,8,4,,11,5,,,3,6,10,,12,,2,7,9,8,1
1,47,,,,,,,,,6,5,9,8,4,7,15,14,2,3,16,17,11,10,13,12,1
1,48,8,2,7,3,4,5,6,1,,,,,,,,,,,,,,,,,
1,49,2,7,8,5,3,6,4,1,,,,,,,,,,,,,,,,,
1,50,4,3,5,6,7,8,2,1,,,,,,,,,,,,,,,,,
2,1,5,3,1,6,2,4,,,,,,,,,,,,,,,,,,,
2,2,1,2,3,4,5,6,7,8,1,,2,,3,,4,,,,,,,,,,
2,3,2,,3,4,1,,6,5,,,,,,,,,,,,,,,,,
2,4,1,5,2,6,4,,3,,,,,,,,,,,,,,,,,,
2,5,1,3,7,8,2,6,4,5,,,,,,,,,,,,,,,,,
2,6,1,8,7,6,4,5,2,3,10,12,11,7,8,9,6,,,4,5,3,2,1,,,
2,7,1,7,4,3,8,2,6,5,,,,,,,,,,,,,,,,,
2,8,1,5,4,2,6,3,,,,,,,,,,,,,,,,,,,
2,9,1,5,6,3,,2,4,,,,,,,,,,,,,,,,,,
2,10,1,3,2,,4,6,5,,,,,,,,,,,,,,,,,,
2,11,1,,,,,,,,,,,,,,,,,,,,,,,,
2,12,1,2,6,4,5,7,8,3,,,,,,,,,,,,,,,,,
2,13,1,8,2,3,7,4,5,6,,,,,,,,,,,,,,,,,
