Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,4,3,1,2,,,6,5,,,,,,,,,,,,,,,,,
1,2,4,3,1,,6,2,5,,,,,,,,,,,,,,,,,,
1,3,4,6,1,3,2,8,5,7,,,,,,,,,,,,,,,,,
1,4,2,6,1,3,4,,5,,,,,,,,,,,,,,,,,,
1,5,2,,1,3,4,,5,6,,,,,,,,,,,,,,,,,
1,6,3,,1,6,2,7,4,5,5,6,,,1,2,12,,3,4,12,11,8,9,,10,7
1,7,4,7,1,3,2,8,5,6,,,,,,,,,,,,,,,,,
1,8,4,3,1,5,2,8,7,6,,,,,,,,,,,,,,,,,
1,9,8,7,1,2,3,5,4,6,,,,,,,,,,,,,,,,,
1,10,7,6,1,2,5,,3,4,12,11,10,13,2,1,3,14,,15,3,4,5,6,7,8,9
1,11,4,3,1,,2,5,6,,,,,,,,,,,,,,,,,,
1,12,5,4,1,2,3,,6,,,,,,,,,,,,,,,,,,
1,13,4,6,1,,3,,2,5,,,,,,,,,,,,,,,,,
1,14,2,4,1,,6,,3,5,,,,,,,,,,,,,,,,,
1,15,,6,1,2,4,3,5,,,,,,,,,,,,,,,,,,
1,16,3,4,1,8,2,7,5,6,,,,,,,,,,,,,,,,,
1,17,3,4,1,5,6,2,,,,,,,,,,,,,,,,,,,
1,18,4,3,1,6,2,,,5,,,,,,,,,,,,,,,,,
1,19,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
1,20,4,3,1,6,2,,5,,,,,,,,,,,,,,,,,,
1,21,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,22,7,6,1,3,2,8,5,4,,,,,,,,,,,,,,,,,
1,23,6,5,1,2,3,,,4,,,,,,,,,,,,,,,,,
1,24,3,8,1,2,6,7,5,4,,,,,,,,,,,,,,,,,
1,25,2,3,1,8,7,6,4,5,,,,,,,,,,,,,,,,,
1,26,2,3,1,8,7,6,4,5,,,,,,,,,,,,,,,,,
1,27,5,3,1,2,,,4,6,,,,,,,,,,,,,,,,,
1,28,4,,1,6,2,5,,3,,,,,,,,,,,,,,,,,
1,29,3,4,1,6,2,8,7,5,,,,,,,,,,,,,,,,,
1,30,5,3,1,8,2,7,6,4,,,,,,,,,,,,,,,,,
1,31,8,6,1,5,2,7,4,5,,,,,,,,,,,,,,,,,
1,32,3,,1,6,2,7,4,5,,,,,,,,,,,,,,,,,
1,33,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,34,3,5,1,,4,,2,6,,,,,,,,,,,,,,,,,
1,35,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
