Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,5,6,8,1,7,2,3,4,,,,,,,,,,,,,,,,,
1,2,5,4,6,1,,2,3,,,,,,,,,,,,,,,,,,
1,3,7,6,8,1,3,2,4,5,,,,,,,,,,,,,,,,,
1,4,,2,,1,3,4,5,6,,,,,,,,,,,,,,,,,
1,5,,6,4,1,,2,3,5,,,,,,,,,,,,,,,,,
1,6,6,,4,1,3,2,5,,,,,,,,,,,,,,,,,,
1,7,,4,6,1,5,2,3,,,,,,,,,,,,,,,,,,
1,8,5,2,,1,,3,6,4,,,,,,,,,,,,,,,,,
1,9,5,4,7,1,6,2,,3,,,,,,,,,,,,,,,,,
1,10,6,7,3,1,4,8,2,5,,,,,,,,,,,,,,,,,
1,11,8,5,6,1,7,2,4,3,,,,,,,,,,,,,,,,,
1,12,7,6,2,1,3,5,4,8,,,,,,,,,,,,,,,,,
1,13,4,3,7,1,,2,5,6,,,,,,,,,,,,,,,,,
1,14,6,2,7,1,8,3,4,5,,,,,,,,,,,,,,,,,
1,15,5,6,,1,,2,3,4,,,,,,,,,,,,,,,,,
1,16,5,4,8,1,7,2,6,3,,,,,,,,,,,,,,,,,
1,17,5,4,6,1,7,2,,3,,,,,,,,,,,,,,,,,
1,18,,3,2,1,5,4,6,,,,,,,,,,,,,,,,,,
1,19,,6,3,1,,2,4,5,,,,,,,,,,,,,,,,,
1,20,7,8,5,1,6,2,3,4,,,,,,,,,,,,,,,,,
1,21,5,4,8,1,6,2,3,7,,,,,,,,,,,,,,,,,
1,22,6,7,3,1,8,2,4,5,,,,,,,,,,,,,,,,,
1,23,4,5,8,1,3,2,6,7,,,,,,,,,,,,,,,,,
1,24,2,8,7,1,3,4,5,6,,,,,,,,,,,,,,,,,
1,25,8,2,3,1,6,4,5,7,,,,,,,,,,,,,,,,,
1,26,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,27,,4,5,1,,2,3,6,,,,,,,,,,,,,,,,,
1,28,6,5,,1,,2,4,3,,,,,,,,,,,,,,,,,
1,29,,,5,1,6,2,3,4,,,,,,,,,,,,,,,,,
1,30,5,4,3,1,8,2,6,7,,,,,,,,,,,,,,,,,
1,31,2,,3,1,6,5,4,,,,,,,,,,,,,,,,,,
1,32,5,,2,1,3,,4,6,,,,,,,,,,,,,,,,,
1,33,5,4,6,1,8,2,3,7,,,,,,,,,,,,,,,,,
1,34,5,4,3,1,,2,6,,,,,,,,,,,,,,,,,,
1,35,6,8,4,1,5,3,2,7,,,,,,,,,,,,,,,,,
1,36,4,3,7,1,8,2,5,6,,,,,,,,,,,,,,,,,
1,37,,3,,1,6,2,4,5,,,,,,,,,,,,,,,,,
1,38,6,7,8,1,5,2,3,4,,,,,,,,,,,,,,,,,
1,39,6,4,2,1,5,7,8,3,,,,,,,,,,,,,,,,,
1,40,8,6,7,1,5,2,3,4,,,,,,,,,,,,,,,,,
1,41,,4,6,1,,2,3,5,,,,,,,,,,,,,,,,,
1,42,6,2,7,1,8,3,4,5,,,,,,,,,,,,,,,,,
1,43,4,5,8,1,7,2,3,6,,,,,,,,,,,,,,,,,
1,44,7,5,4,1,3,2,8,6,,,,,,,,,,,,,,,,,
1,45,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,46,8,5,4,1,3,2,6,7,,,,,,,,,,,,,,,,,
1,47,5,4,7,1,8,2,3,6,,,,,,,,,,,,,,,,,
1,48,5,7,4,1,3,2,6,8,,,,,,,,,,,,,,,,,
1,49,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,50,5,4,6,1,7,2,8,3,,,,,,,,,,,,,,,,,
2,1,,,3,1,4,2,5,6,,,,,,,,,,,,,,,,,
2,2,,4,6,1,5,2,3,,,,,,,,,,,,,,,,,,
2,3,3,,5,1,6,2,,4,,,,,,,,,,,,,,,,,
2,4,,3,5,1,6,2,,4,,,,,,,,,,,,,,,,,
2,5,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
2,6,,,6,1,4,3,2,5,,,,,,,,,,,,,,,,,
2,7,,4,,1,5,2,3,6,,,,,,,,,,,,,,,,,
2,8,,5,6,1,,2,4,3,,,,,,,,,,,,,,,,,
2,9,5,3,7,1,8,2,6,4,,,,,,,,,,,,,,,,,
2,10,8,7,4,1,3,2,5,6,,,,,,,,,,,,,,,,,
2,11,6,5,,1,,2,3,4,,,,,,,,,,,,,,,,,
2,12,6,7,3,1,5,2,4,8,,,,,,,,,,,,,,,,,
2,13,6,3,5,1,8,2,4,7,,,,,,,,,,,,,,,,,
2,14,7,8,3,1,6,2,4,5,,,,,,,,,,,,,,,,,
2,15,8,2,7,1,4,3,5,6,,,,,,,,,,,,,,,,,
2,16,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
2,17,4,,,1,2,3,6,5,,,,,,,,,,,,,,,,,
2,18,2,6,4,1,3,5,,,,,,,,,,,,,,,,,,,
2,19,7,8,5,1,6,2,3,4,,,,,,,,,,,,,,,,,
2,20,,6,2,1,,3,4,5,,,,,,,,,,,,,,,,,
2,21,7,6,5,1,4,2,3,8,,,,,,,,,,,,,,,,,
2,22,4,,5,1,,2,3,6,,,,,,,,,,,,,,,,,
2,23,5,4,6,1,8,2,7,3,,,,,,,,,,,,,,,,,
2,24,4,2,8,1,7,3,5,6,,,,,,,,,,,,,,,,,
2,25,5,,,1,6,2,3,4,,,,,,,,,,,,,,,,,
2,26,5,4,6,1,7,2,8,3,,,,,,,,,,,,,,,,,
2,28,3,2,5,1,4,6,8,7,,,,,,,,,,,,,,,,,
2,29,6,3,7,1,,2,4,5,,,,,,,,,,,,,,,,,
2,30,5,4,8,1,7,2,6,3,,,,,,,,,,,,,,,,,
2,31,6,5,,1,,2,3,4,,,,,,,,,,,,,,,,,
2,32,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
2,33,,3,,1,2,6,4,5,,,,,,,,,,,,,,,,,
2,34,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
2,35,6,5,2,1,8,3,4,7,,,,,,,,,,,,,,,,,
2,36,6,5,2,1,4,3,7,8,,,,,,,,,,,,,,,,,
2,37,,3,6,1,5,2,3,4,,,,,,,,,,,,,,,,,
2,38,6,3,4,1,7,2,5,8,,,,,,,,,,,,,,,,,
2,39,6,,3,1,2,,4,5,,,,,,,,,,,,,,,,,
2,40,,,6,1,4,2,3,5,,,,,,,,,,,,,,,,,
2,41,5,6,8,1,3,2,4,7,,,,,,,,,,,,,,,,,
2,42,,6,5,1,,4,2,3,,,,,,,,,,,,,,,,,
2,43,4,,6,1,,2,3,5,,,,,,,,,,,,,,,,,
2,44,6,5,8,1,7,2,3,4,,,,,,,,,,,,,,,,,
2,45,6,5,7,1,8,2,3,4,,,,,,,,,,,,,,,,,
2,46,8,4,3,1,7,2,5,6,,,,,,,,,,,,,,,,,
2,47,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
2,48,6,5,8,1,7,2,3,4,,,,,,,,,,,,,,,,,
2,49,4,6,2,1,,3,,5,,,,,,,,,,,,,,,,,
2,50,4,,2,1,3,6,,5,,,,,,,,,,,,,,,,,
3,1,8,7,3,1,5,2,4,6,,,,,,,,,,,,,,,,,
3,2,4,,6,1,2,3,,5,,,,,,,,,,,,,,,,,
3,3,5,4,6,1,7,2,8,3,,,,,,,,,,,,,,,,,
3,4,8,4,7,1,5,2,6,3,,,,,,,,,,,,,,,,,
3,5,,4,2,1,,3,5,6,,,,,,,,,,,,,,,,,
3,6,6,,3,1,5,2,4,,,,,,,,,,,,,,,,,,
3,7,4,5,3,1,,4,6,2,,,,,,,,,,,,,,,,,
3,8,8,7,3,1,6,2,4,5,,,,,,,,,,,,,,,,,
3,9,7,6,2,1,3,,4,5,,,,,,,,,,,,,,,,,
3,10,5,4,6,1,8,2,7,3,,,,,,,,,,,,,,,,,
3,11,3,8,6,1,5,2,4,7,,,,,,,,,,,,,,,,,
3,12,,3,2,1,6,4,5,,,,,,,,,,,,,,,,,,
3,13,5,6,,1,4,,3,2,,,,,,,,,,,,,,,,,
3,14,3,4,7,1,8,2,5,6,,,,,,,,,,,,,,,,,
3,15,,6,2,1,6,3,4,5,,,,,,,,,,,,,,,,,
3,16,5,4,6,1,3,2,,,,,,,,,,,,,,,,,,,
3,17,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
3,18,4,6,7,1,3,2,8,5,,,,,,,,,,,,,,,,,
3,19,,2,,1,5,4,3,6,,,,,,,,,,,,,,,,,
3,20,6,8,5,1,2,3,4,7,,,,,,,,,,,,,,,,,
3,21,,2,,1,5,6,3,4,,,,,,,,,,,,,,,,,
3,22,4,,2,1,3,,5,6,,,,,,,,,,,,,,,,,
3,23,6,5,3,1,,2,4,,,,,,,,,,,,,,,,,,
3,24,5,6,3,1,4,2,7,8,,,,,,,,,,,,,,,,,
3,25,6,,4,1,3,5,2,,,,,,,,,,,,,,,,,,
3,26,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
3,27,,,2,1,4,3,6,5,,,,,,,,,,,,,,,,,
3,28,,4,6,1,2,5,3,,,,,,,,,,,,,,,,,,
3,29,6,5,,1,,2,4,3,,,,,,,,,,,,,,,,,
3,30,4,,6,1,,2,3,5,,,,,,,,,,,,,,,,,
3,31,5,8,7,1,6,3,4,2,,,,,,,,,,,,,,,,,
3,32,5,4,6,1,8,2,7,3,,,,,,,,,,,,,,,,,
3,33,,,2,1,4,3,5,6,,,,,,,,,,,,,,,,,
3,34,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
3,35,,,6,1,2,3,5,4,,,,,,,,,,,,,,,,,
3,36,,5,6,1,,2,3,4,,,,,,,,,,,,,,,,,
3,37,,,2,1,4,3,5,6,,,,,,,,,,,,,,,,,
3,38,6,,,1,4,2,3,5,,,,,,,,,,,,,,,,,
3,39,6,5,8,1,7,2,3,4,,,,,,,,,,,,,,,,,
3,40,4,5,3,1,,2,,6,,,,,,,,,,,,,,,,,
3,41,6,5,,1,,2,4,3,,,,,,,,,,,,,,,,,
3,42,,3,2,1,,6,4,5,,,,,,,,,,,,,,,,,
3,43,,7,3,1,5,2,4,6,,,,,,,,,,,,,,,,,
3,44,6,4,8,1,7,2,3,5,,,,,,,,,,,,,,,,,
3,45,5,8,2,1,3,4,7,6,,,,,,,,,,,,,,,,,
3,46,4,8,3,1,7,6,2,5,,,,,,,,,,,,,,,,,
3,47,7,4,6,1,5,,2,3,,,,,,,,,,,,,,,,,
3,48,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
3,49,6,4,8,1,7,2,3,5,,,,,,,,,,,,,,,,,
3,50,6,3,,1,,2,4,5,,,,,,,,,,,,,,,,,
4,1,4,5,8,2,7,1,3,6,,,,,,,,,,,,,,,,,
4,2,7,6,5,4,8,1,3,2,,,,,,,,,,,,,,,,,
4,3,6,2,7,8,5,1,3,4,,,,,,,,,,,,,,,,,
4,4,6,3,,2,,1,4,5,,,,,,,,,,,,,,,,,
4,5,4,2,,6,,1,3,5,,,,,,,,,,,,,,,,,
4,6,6,,5,2,,1,3,4,,,,,,,,,,,,,,,,,
4,7,,3,6,5,,1,2,4,,,,,,,,,,,,,,,,,
4,8,5,4,8,6,7,1,3,2,,,,,,,,,,,,,,,,,
4,9,,3,5,2,,1,6,4,,,,,,,,,,,,,,,,,
4,10,,5,4,2,,1,3,6,,,,,,,,,,,,,,,,,
4,11,,3,5,2,6,1,4,,,,,,,,,,,,,,,,,,
4,12,6,5,2,3,8,1,7,4,,,,,,,,,,,,,,,,,
4,13,6,,3,2,4,1,5,,,,,,,,,,,,,,,,,,
4,14,6,,2,3,5,1,4,,,,,,,,,,,,,,,,,,
4,15,6,3,7,2,8,1,4,5,,,,,,,,,,,,,,,,,
4,16,6,7,3,2,8,1,4,5,,,,,,,,,,,,,,,,,
4,17,5,4,7,3,8,1,2,6,,,,,,,,,,,,,,,,,
4,18,5,,6,3,,1,2,4,,,,,,,,,,,,,,,,,
4,19,5,2,7,3,,1,4,6,,,,,,,,,,,,,,,,,
4,20,2,5,3,8,6,1,4,7,,,,,,,,,,,,,,,,,
4,21,6,2,,5,,1,4,3,,,,,,,,,,,,,,,,,
4,22,6,7,4,2,8,1,5,3,,,,,,,,,,,,,,,,,
4,24,,5,6,2,,1,4,3,,,,,,,,,,,,,,,,,
4,25,6,5,,3,,1,4,2,,,,,,,,,,,,,,,,,
4,26,5,4,,,6,1,2,3,,,,,,,,,,,,,,,,,
