Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,1,3,2,5,4,,6,,,,,,,,,,,,,,,,,,
1,2,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,3,1,,2,6,3,,4,5,,,,,,,,,,,,,,,,,
1,4,1,,2,3,5,6,,4,,,,,,,,,,,,,,,,,
1,5,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,6,1,4,5,6,2,3,,,,,,,,,,,,,,,,,,,
1,7,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,8,1,,3,6,2,5,4,,9,1,,,3,10,,6,8,2,5,,,4,12,11,7
1,9,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,10,1,5,4,2,6,3,,,,,,,,,,,,,,,,,,,
1,11,1,4,3,6,2,5,,,,,,,,,,,,,,,,,,,
1,12,1,4,3,2,6,5,,,,,,,,,,,,,,,,,,,
1,13,1,4,6,2,3,5,,,,,,,,,,,,,,,,,,,
1,14,1,,,,,,,,1,,,,,,,,,,,,,,,,
1,15,1,5,3,4,6,8,7,,,,,,,,,,,,,,,,,,
1,16,1,3,2,4,6,5,7,8,,,,,,,,,,,,,,,,,
1,17,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,18,1,6,3,5,4,2,,,,,,,,,,,,,,,,,,,
1,19,1,3,4,5,2,6,,,,,,,,,,,,,,,,,,,
1,20,1,2,,4,3,6,5,,,,,,,,,,,,,,,,,,
1,21,1,4,5,6,8,7,,,,,,,,,,,,,,,,,,,
1,22,1,3,6,4,5,,,,,,,,,,,,,,,,,,,,
1,23,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,24,1,5,3,2,4,6,,,,,,,,,,,,,,,,,,,
1,25,1,4,3,2,5,,,6,,,,,,,,,,,,,,,,,
1,26,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,27,1,3,4,5,,6,2,,,,,,,,,,,,,,,,,,
1,28,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,29,1,,2,3,6,4,5,,,,,,,,,,,,,,,,,,
1,30,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,31,1,,2,3,,4,5,6,,,,,,,,,,,,,,,,,
1,32,1,2,3,4,5,,6,,,,,,,,,,,,,,,,,,
1,33,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,34,1,,,6,5,4,3,2,,,,,,,,,,,,,,,,,
1,35,1,5,2,6,3,4,,,,,,,,,,,,,,,,,,,
1,36,1,4,3,6,2,5,7,,,,,,,,,,,,,,,,,,
1,37,1,,2,3,4,6,5,,,,,,,,,,,,,,,,,,
1,38,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,39,1,8,2,3,4,5,6,7,,,,,,,,,,,,,,,,,
1,40,1,3,2,5,4,,,6,,,,,,,,,,,,,,,,,
1,41,1,2,6,5,4,,3,,,,,,,,,,,,,,,,,,
1,42,1,2,4,5,,3,6,,5,,6,,1,2,,,,7,3,,,8,4,,
1,43,1,,3,4,5,6,,2,,,,,,,,,,,,,,,,,
1,44,1,3,2,4,6,5,,,,,,,,,,,,,,,,,,,
1,45,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,46,1,,,5,4,3,2,6,,,,,,,,,,,,,,,,,
1,47,1,2,4,3,5,6,,,,,,,,,,,,,,,,,,,
1,48,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,49,1,2,4,3,5,6,,,,,,,,,,,,,,,,,,,
1,50,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
2,1,2,4,1,,3,5,6,,,,,,,,,,,,,,,,,,
2,2,5,3,1,2,4,6,,,,,,,,,,,,,,,,,,,
2,3,1,,6,2,5,,4,3,,,,,,,,,,,,,,,,,
2,4,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
2,5,,4,1,3,2,6,5,,,,,,,,,,,,,,,,,,
2,6,5,4,1,,2,,3,6,,,,,,,,,,,,,,,,,
2,7,5,4,1,,3,6,2,,,,,,,,,,,,,,,,,,
2,8,,,1,2,5,6,4,3,,,,,,,,,,,,,,,,,
2,9,4,2,1,3,5,,6,,,,,,,,,,,,,,,,,,
2,10,3,2,1,5,6,4,,,,,,,,,,,,,,,,,,,
2,11,4,6,1,2,3,5,,,,,,,,,,,,,,,,,,,
2,12,2,,1,,6,5,3,4,,,,,,,,,,,,,,,,,
2,13,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
2,14,3,4,1,,2,6,5,,,,,,,,,,,,,,,,,,
2,15,5,,1,2,4,3,6,7,,,,,,,,,,,,,,,,,
2,16,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
2,17,4,5,1,6,2,7,3,8,,,,,,,,,,,,,,,,,
2,18,3,2,1,4,5,6,4,3,,,,,,,,,,,,,,,,,
2,19,4,3,1,2,5,6,7,8,,,,,,,,,,,,,,,,,
2,20,2,3,1,7,6,5,4,8,,,,,,,,,,,,,,,,,
2,21,3,4,1,5,2,6,7,8,,,,,,,,,,,,,,,,,
2,22,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,23,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,24,2,3,1,4,5,6,,,,,,,,,,,,,,,,,,,
2,25,,,1,,,,,,,,,,2,,10,,,,,,,,,,
2,26,,,1,3,2,6,4,5,,,,,,,,,,,,,,,,,
2,27,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,28,,6,1,5,4,2,3,,,,,,,,,,,,,,,,,,
2,29,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
2,30,,8,1,3,2,4,5,7,,,,,,,,,,,,,,,,,
2,31,,,1,3,2,5,4,6,,,,,,,,,,,,,,,,,
2,32,,,1,3,6,4,5,,,,,,,,,,,,,,,,,,
2,33,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,34,5,2,1,3,,6,8,7,,,,,,,,,,,,,,,,,
2,35,,2,1,3,,4,5,6,,,,,,,,,,,,,,,,,
2,36,5,,1,3,2,,4,6,,,,,,,,,,,,,,,,,
2,37,2,6,1,,3,5,3,4,,,,,,,,,,,,,,,,,
2,38,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
2,39,,4,1,6,2,,3,5,,,,,,,,,,,,,,,,,
2,40,6,4,1,7,2,,3,5,,,,,,,,,,,,,,,,,
2,41,3,6,1,7,2,8,4,5,,,,,,,,,,,,,,,,,
2,42,6,4,1,5,2,6,3,,,,,,,,,,,,,,,,,,
