Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,4,3,1,5,2,5,4,6,,,,,,,,,,,,,,,,,
1,2,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,3,3,6,1,4,2,8,7,5,,,,,,,,,,,,,,,,,
1,4,4,7,1,2,3,6,5,8,,,,,,,,,,,,,,,,,
1,5,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,6,,,1,2,3,6,4,5,,,,,,,,,,,,,,,,,
1,7,3,4,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,8,4,3,1,8,2,7,5,6,,,,,,,,,,,,,,,,,
1,9,6,,1,3,2,4,5,,,,,,,,,,,,,,,,,,
1,10,3,,1,2,6,,4,5,,,,,,,,,,,,,,,,,
1,11,7,8,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,12,7,8,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,13,5,6,1,2,3,4,7,8,,,,,,,,,,,,,,,,,
1,14,3,,1,4,2,6,5,,,,,,,,,,,,,,,,,,
1,15,,,1,3,2,6,4,5,,,,,,,,,,,,,,,,,
1,16,,,1,3,2,6,4,5,,,,,,,,,,,,,,,,,
1,17,2,4,1,5,3,6,,,,,,,,,,,,,,,,,,,
1,18,7,8,1,2,5,6,3,4,,,,,,,,,,,,,,,,,
1,19,6,5,1,4,2,,3,,,,,,,,,,,,,,,,,,
1,20,6,2,1,,3,,4,5,,,,,,,,,,,,,,,,,
1,21,5,3,1,4,2,,,6,,,,,,,,,,,,,,,,,
1,22,,,1,,,,,,,,,,,,,,,,,,,,,,
1,23,6,7,1,4,2,8,5,3,,,,,,,,,,,,,,,,,
1,24,,,1,3,2,4,5,6,,,,,,,,,,,,,,,,,
1,25,4,2,1,6,3,7,5,6,,,,,,,,,,,,,,,,,
1,26,3,4,1,2,,5,6,,,,,,,,,,,,,,,,,,
1,27,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,28,,5,1,2,3,6,4,,,,,,,,,,,,,,,,,,
1,29,6,,1,4,2,,3,5,,,,,,,,,,,,,,,,,
1,30,6,7,1,3,4,8,5,2,,,,,,,,,,,,,,,,,
