Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,7,1,6,2,8,3,4,5,,,,,,,,,,,,,,,,,
1,2,,1,6,5,2,3,4,,,,,,,,,,,,,,,,,,
1,3,5,1,3,,4,,6,2,,,,,,,,,,,,,,,,,
1,4,5,1,,6,3,2,4,,,,,,,,,,,,,,,,,,
1,5,3,1,4,5,2,6,7,8,,,,,,,,,,,,,,,,,
1,6,3,1,2,8,4,5,7,6,,,,,,,,,,,,,,,,,
1,7,2,1,3,,5,4,,6,,,,,,,,,,,,,,,,,
1,8,4,1,2,,3,,5,6,,,,,,,,,,,,,,,,,
1,9,6,1,3,2,5,,4,7,,,,,,,,,,,,,,,,,
1,10,8,1,7,4,3,2,5,6,,,,,,,,,,,,,,,,,
1,11,4,1,,3,2,,5,6,,,,,,,,,,,,,,,,,
1,12,2,1,3,8,4,7,5,6,,,,,,,,,,,,,,,,,
1,13,4,1,3,2,5,,,6,,,,,,,,,,,,,,,,,
1,14,2,1,6,5,,,3,4,,,,,,,,,,,,,,,,,
1,15,8,1,2,5,4,3,6,7,,,,,,,,,,,,,,,,,
1,16,2,1,,4,3,5,,6,,,,,,,,,,,,,,,,,
1,17,7,1,6,5,,2,3,4,,,,,,,,,,,,,,,,,
1,18,2,1,3,5,4,,5,6,,,,,,,,,,,,,,,,,
1,19,6,1,7,2,3,8,5,4,,,,,,,,,,,,,,,,,
1,20,5,1,3,6,2,,4,,,,,,,,,,,,,,,,,,
1,21,,1,2,4,3,,5,6,,,,,,,,,,,,,,,,,
1,22,2,1,7,5,,4,6,3,,,,,,,,,,,,,,,,,
1,23,,1,6,2,3,,4,5,,,,,,,,,,,,,,,,,
1,24,5,1,8,2,3,4,6,7,,,,,,,,,,,,,,,,,
1,25,4,1,5,6,7,2,3,,,,,,,,,,,,,,,,,,
1,26,,1,2,6,3,7,4,5,,,,,,,,,,,,,,,,,
1,27,3,1,4,,2,5,6,7,,,,,,,,,,,,,,,,,
1,28,,1,,6,2,4,5,3,,,,,,,,,,,,,,,,,
1,29,3,1,2,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,30,3,1,,4,,2,6,5,,,,,,,,,,,,,,,,,
1,31,2,1,,,3,6,4,5,,,,,,,,,,,,,,,,,
1,32,2,1,3,6,4,5,7,8,5,6,1,2,3,4,7,10,8,9,11,12,1,,,,
1,33,4,1,,2,3,5,6,,11,12,1,2,,,3,4,5,6,7,8,9,10,,,
1,34,8,1,7,5,6,4,3,2,,,,,,,,,,,,,,,,,
1,35,5,1,2,3,6,,4,,,,,,,,,,,,,,,,,,
1,36,4,1,5,2,6,3,7,8,,,,,,,,,,,,,,,,,
1,37,3,1,5,,2,,6,4,,,,,,,,,,,,,,,,,
1,38,2,1,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,39,6,1,5,2,7,3,8,4,,,,,,,,,,,,,,,,,
1,40,3,1,5,6,,4,,2,,,,,,,,,,,,,,,,,
1,41,6,1,5,7,3,8,4,2,,,,,,,,,,,,,,,,,
1,42,3,1,8,6,2,7,5,4,,,,,,,,,,,,,,,,,
1,43,6,1,4,5,,,2,3,,,,,,,,,,,,,,,,,
1,44,5,1,2,3,8,4,6,7,,,,,,,,,,,,,,,,,
1,45,6,1,5,3,4,2,,,,,,,,,,,,,,,,,,,
1,46,5,1,6,,,2,3,4,,,,,,,,,,,,,,,,,
1,47,6,1,4,3,8,5,7,2,,,,,,,,,,,,,,,,,
1,48,4,1,3,,2,,5,6,,,,,,,,,,,,,,,,,
1,49,2,1,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,50,4,1,,3,2,5,6,,,,,,,,,,,,,,,,,,
2,1,4,3,1,2,5,,6,,,,,,,,,,,,,,,,,,
2,2,4,3,1,8,2,6,5,7,,,,,1,2,,,,,,,,,,,
2,3,3,2,1,4,8,7,5,6,,,,,,,,,,,,,,,,,
2,4,3,4,1,,2,,5,6,,,,,,,,,,,,,,,,,
2,5,4,2,1,5,3,,,6,,,,,,,,,,,,,,,,,
2,6,2,6,1,3,,,4,5,,,,,,,,,,,,,,,,,
2,7,4,3,1,,6,,2,5,,,,,,,,,,,,,,,,,
2,8,4,1,2,5,7,3,6,8,,,,,,,,,,,,,,,,,
2,9,2,1,,,3,6,4,5,,,,,,,,,,,,,,,,,
2,10,5,1,6,2,,3,4,,,,,,,,,,,,,,,,,,
2,11,4,1,3,5,2,6,,,,,,,,,,,,,,,,,,,
2,12,5,1,2,3,4,6,7,8,,,,,,,,,,,,,,,,,
2,13,3,1,4,7,2,,5,6,,,,,,,,,,,,,,,,,
2,14,2,1,6,8,4,3,5,7,,,,,,,,,,,,,,,,,
2,15,4,1,8,6,3,5,2,7,,,,,,,,,,,,,,,,,
2,16,,1,5,3,,2,4,6,,,,,,,,,,,,,,,,,
2,17,2,1,7,8,6,3,4,5,,,,,,,,,,,,,,,,,
2,18,,,,,,,,,6,9,1,10,4,5,,,7,8,,,11,12,2,3,
2,19,,2,1,,5,4,3,6,,5,1,12,2,8,,3,,7,4,,6,10,,9,11
2,20,3,1,4,2,5,8,6,7,7,8,1,2,5,6,3,4,9,10,16,17,12,13,14,15,11
2,21,6,1,,2,7,3,4,5,12,4,1,5,,6,2,7,,8,3,9,,10,13,11,14
2,22,3,1,,,2,6,5,4,5,6,1,2,,,,,3,4,12,,10,11,8,7,9
2,23,3,1,2,8,5,6,7,4,5,6,2,1,3,4,12,13,16,17,11,10,14,15,8,9,7
2,24,,1,2,5,,3,4,6,,,,,,,,,,,,,,,,,
2,25,3,1,4,2,5,,7,6,,,,,,,,,,,,,,,,,
2,26,6,1,7,8,5,2,4,3,,,,,,,,,,,,,,,,,
2,27,6,1,5,2,8,3,4,7,,,,,,,,,,,,,,,,,
2,28,6,1,2,4,3,,5,,,,,,,,,,,,,,,,,,
2,29,6,1,,2,3,5,4,,,,,,,,,,,,,,,,,,
2,30,5,1,6,4,3,8,2,7,,,,,,,,,,,,,,,,,
2,31,4,1,,,6,3,2,5,,,,,,,,,,,,,,,,,
2,32,3,1,7,6,2,6,4,5,,,,,,,,,,,,,,,,,
2,33,6,1,5,,2,,3,4,,,,,,,,,,,,,,,,,
2,34,3,1,5,4,6,2,7,8,,,,,,,,,,,,,,,,,
2,35,8,1,7,6,4,5,2,3,,,,,,,,,,,,,,,,,
2,36,2,1,,6,,4,3,5,,,,,,,,,,,,,,,,,
2,37,4,1,7,8,3,2,6,5,,,,,,,,,,,,,,,,,
