Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,5,7,1,2,3,8,4,6,,,,,,,,,,,,,,,,,
1,2,3,7,1,5,4,8,6,2,,,,,,,,,,,,,,,,,
1,3,4,,1,5,2,6,3,,,,,,,,,,,,,,,,,,
1,4,3,6,1,5,2,8,4,7,,,,,,,,,,,,,,,,,
1,5,6,5,1,,2,4,3,7,,,,,,,,,,,,,,,,,
1,6,,,1,6,2,5,4,3,,,,,,,,,,,,,,,,,
1,7,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,8,2,,1,5,3,,4,6,1,1,,,1,1,1,1,1,1,,,1,1,1,1,
1,9,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,10,3,4,1,5,,6,2,,,,,,,,,,,,,,,,,,
1,11,8,7,1,2,6,4,3,5,,,,,1,,,,,,,,,,,,
1,12,5,6,1,7,2,4,3,8,,,,,,,,,,,,,,,,,
1,13,5,8,1,3,2,7,4,6,,,,,,,,,,,,,,,,,
1,14,3,2,1,,4,,5,6,,,,,,,,,,,,,,,,,
1,15,6,5,1,2,3,4,,,,,,,,,,,,,,,,,,,
1,16,,,1,2,3,6,4,5,,,,,,,,,,,,,,,,,
1,17,6,,1,5,2,3,4,,,,,,,,,,,,,,,,,,
1,18,5,,1,3,4,6,2,,,,,,,,,,,,,,,,,,
