Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,4,5,1,6,2,8,7,3,,,,,,,,,,,,,,,,,
1,2,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,3,7,5,1,2,3,4,6,8,,,,,,,,,,,,,,,,,
1,4,,,1,6,4,5,2,,,,,,,,,,,,,,,,,,
1,5,4,2,1,6,3,5,,,,,,,,,,,,,,,,,,,
1,6,,5,1,,2,6,3,4,,,,,,,,,,,,,,,,,
1,7,3,7,1,4,2,8,,,,,,,,,,,,,,,,,,,
1,8,,4,1,6,2,5,3,,,,,,,,,,,,,,,,,,
1,9,6,5,1,,4,,2,3,,,,,,,,,,,,,,,,,
1,10,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,11,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,12,,,1,2,4,6,5,3,,,,,,,,,,,,,,,,,
1,13,5,,1,2,3,4,6,,,,,,,,,,,,,,,,,,
1,14,7,8,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,15,4,3,1,,6,,2,5,,,,,,,,,,,,,,,,,
1,16,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
1,17,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,18,,6,1,5,2,4,3,,,,,,,,,,,,,,,,,,
1,19,8,,1,3,2,4,6,7,,,,,,,,,,,,,,,,,
1,20,2,6,1,4,3,,,5,,,,,,,,,,,,,,,,,
1,21,8,4,1,5,3,2,6,7,,,,,,,,,,,,,,,,,
1,22,2,,1,,3,4,5,6,,,,,,,,,,,,,,,,,
1,23,7,6,1,2,4,8,3,5,,,,,,,,,,,,,,,,,
1,24,,,1,2,4,3,6,,,,,,,,,,,,,,,,,,
1,25,5,8,1,2,3,7,4,6,,,,,,,,,,,,,,,,,
1,26,,,1,3,2,6,4,5,,,,,,,,,,,,,,,,,
1,27,3,2,1,4,5,6,,,,,,,,,,,,,,,,,,,
1,28,,,1,2,3,4,6,,,,,,,,,,,,,,,,,,
1,29,,,1,6,2,4,3,,,,,,,,,,,,,,,,,,
1,30,,,1,4,5,3,6,2,,,,,,,,,,,,,,,,,
1,31,6,4,1,5,2,,3,,,,,,,,,,,,,,,,,,
1,32,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
1,33,6,8,1,2,7,3,5,4,,,,,,,,,,,,,,,,,
