Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,1,2,3,4,5,6,7,8,9,,10,,11,,,,,,,,,,,,
1,2,1,2,3,4,5,,,,1,6,2,7,3,8,4,9,5,10,,,,,,,
1,3,1,3,2,4,5,,6,,6,2,,,1,,3,5,,,4,,,,,,
1,4,1,2,3,4,5,6,,,1,1,2,2,3,3,4,4,5,5,6,6,,,,,
1,5,1,2,,,,,,,3,5,4,6,,,,,,,,,,,,,
1,6,1,2,3,4,5,6,,,,,,,1,,,,,,,,,,,,
1,7,1,,6,2,5,,4,3,,,,,,,,,,,,,,,,,
1,8,1,4,3,6,5,,,,,,,,,,,,,,,,,,,,
1,9,1,5,2,6,3,,4,,,,,,,,,,,,,,,,,,
1,10,1,3,2,4,5,,,,,,,,,,,,,,,,,,,,
1,11,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,
1,12,1,3,4,2,5,8,6,7,,,,,,,,,,,,,,,,,
1,13,1,4,2,3,5,6,,,,,,,,,,,,,,,,,,,
1,14,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,15,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,16,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,17,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,18,1,4,2,3,6,8,,7,,,,,,,,,,,,,,,,,
1,19,1,4,3,2,5,,6,,,,,,,,,,,,,,,,,,
1,20,1,2,3,5,6,,,,,,,,,,,,,,,,,,,,
1,21,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,
1,22,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,23,1,2,,,,,,,3,5,4,6,,,,,,,,,,,,,
1,25,1,6,2,3,4,5,,,,,,,,,,,,,,,,,,,
1,26,1,2,7,,3,6,4,5,1,3,2,4,5,6,7,8,10,9,11,,12,14,13,15,16
1,28,1,3,4,5,6,8,7,,3,3,4,4,6,6,7,7,8,9,9,10,10,11,12,10,14
1,29,1,8,7,2,3,4,5,6,1,2,16,17,3,8,4,7,5,6,9,10,11,12,13,14,15
1,30,1,2,,6,,3,4,5,,,,,,,,,,,,,,,,,
1,31,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,32,1,6,3,2,5,4,,,,,,,,,,,,,,,,,,,
1,33,1,2,4,3,6,5,,,,,,,,,,,,,,,,,,,
1,34,1,8,6,7,2,4,3,5,2,3,7,8,1,15,14,4,9,13,5,12,11,10,6,,
1,35,1,2,3,,4,,5,6,6,8,7,5,1,,2,4,9,11,,10,3,12,,,
1,36,1,2,3,4,5,6,,,1,10,2,11,3,12,4,,5,,6,,7,,8,,9
1,37,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,38,1,3,,,,,,,4,6,5,2,,,,,,,,,,,,,
1,39,1,,5,4,2,6,3,,,,,,,,,,,,,,,,,,
1,40,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,41,1,2,6,5,8,7,3,4,1,6,5,4,3,2,7,8,9,12,10,11,,,,,
1,42,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,43,6,1,3,2,4,,5,,,,,,,,,,,,,,,,,,
1,44,4,1,2,5,3,6,,,,,,,,,,,,,,,,,,,
1,45,,1,2,4,3,5,6,,,,,,,,,,,,,,,,,,
1,46,3,1,2,5,4,6,7,8,2,10,6,,1,11,5,,3,13,4,,7,,9,,12
1,47,3,1,2,4,5,,,,,,,,,,,,,,,,,,,,
1,48,5,1,2,4,,3,6,,,,,,,,,,,,,,,,,,
1,49,4,1,2,3,6,5,7,8,,,,,,,,,,,,,,,,,
1,50,2,1,5,7,3,8,6,4,,,,,,,,,,,,,,,,,
2,1,4,1,2,3,5,8,6,7,,,,,,,,,,,,,,,,,
2,2,2,1,4,5,3,,,,,,,,,,,,,,,,,,,,
2,3,5,1,2,3,4,,,,5,6,1,,2,5,3,,4,,,,,,,,
2,4,5,1,2,8,3,7,4,6,,,,,,,,,,,,,,,,,
2,5,2,1,3,5,4,,6,,,,,,1,,,,,,,,,,,,
2,6,2,3,1,5,4,6,,,,,,,,,,,,,,,,,,,
2,7,6,2,1,,3,,4,5,,,,,,,,,,,,,,,,,
2,8,4,5,1,6,7,2,3,8,,,,,,,,,,,,,,,,,
2,9,,5,1,2,3,4,6,,,,,,,,,,,,,,,,,,
2,10,6,5,1,4,2,,3,,,,,,,,,,,,,,,,,,
2,11,4,,1,,2,5,3,6,,,,,,,,,,,,,,,,,
2,12,3,2,1,4,5,,6,,,,,,,,,,,,,,,,,,
2,14,,,1,2,4,6,5,3,6,,,,1,5,2,,,4,,,3,,,,
2,15,8,7,1,2,5,6,3,4,,,,,,,,,,,,,,,,,
2,16,3,,1,2,,,,,,,,,,,,,,,,,,,,,
2,17,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
2,18,,,1,2,3,,,,,,,,,,,,,,,,,,,,
2,19,7,8,1,2,3,6,5,4,,,,,,,,,,,,,,,,,
2,20,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,21,4,5,1,2,3,,,,,,,,,,,,,,,,,,,,
2,22,,,1,,3,,,,,,,,,6,4,5,,,,,2,,,,
2,23,3,,1,2,4,5,6,,,,,,,,,,,,,,,,,,
2,24,3,7,1,2,4,6,5,,,,,,,,,,,,,,,,,,
2,25,6,5,1,2,4,,3,7,,,,,,,,,,,,,,,,,
2,26,4,2,1,3,5,6,,,,,,,,,,,,,,,,,,,
2,27,,,1,2,4,6,5,,,,,,,,,,,,,,,,,,
2,28,3,2,1,4,6,5,,,,,,,,,,,,,,,,,,,
2,29,3,4,1,5,2,6,7,8,,,,,,,,,,,,,,,,,
2,30,4,2,1,3,8,6,7,5,,,,,,,,,,,,,,,,,
2,31,3,4,1,5,2,6,7,8,,,,,,,,,,,,,,,,,
2,32,4,3,1,5,2,,2,6,,,,,,,,,,,,,,,,,
2,33,6,,1,4,5,,2,3,,,,,,,,,,,,,,,,,
2,34,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,35,2,,1,,3,6,5,4,,,,,,,,,,,,,,,,,
2,36,,,1,4,2,5,6,,,,,,,,,,,,,,,,,,
2,37,5,6,1,3,4,2,,,,,,,,,,,,,,,,,,,
2,38,2,3,1,5,4,,6,,,,,,,,,,,,,,,,,,
2,39,8,6,1,5,4,3,7,2,,,,,,,,,,,,,,,,,
2,40,,,1,5,2,,,,,,,,,,,,,,,,,,,,
2,41,3,6,4,1,7,5,2,8,7,10,,6,1,9,,3,2,5,8,12,4,,,11,
2,42,4,6,2,1,3,5,4,6,,,,,,,,,,,,,,,,,
2,43,2,3,4,1,5,6,7,8,1,10,2,11,3,12,4,,5,,6,,7,,8,,9
2,44,3,2,4,1,5,,6,,,11,4,,1,,3,,2,12,5,6,8,7,10,9,
2,45,6,,7,1,2,3,4,5,,,,,,,,,,,,,,,,,
2,46,5,6,2,1,,,3,4,,,,,,,,,,,,,,,,,
2,47,6,2,,1,,5,4,3,,,,,,,,,,,,,,,,,
2,48,6,5,,1,,2,4,3,,,,,,,,,,,,,,,,,
2,49,,5,3,1,6,2,4,,,,,,,,,,,,,,,,,,
2,50,2,3,1,4,5,6,,,,,,,,,,,,,,,,,,,
3,1,2,4,1,3,5,6,7,8,,,,,,,,,,,,,,,,,
3,2,2,,1,3,4,5,6,,,,,,,,,,,,,,,,,,
3,4,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
3,5,4,3,1,8,2,5,6,7,,,,,,,,,,,,,,,,,
3,6,,2,1,3,4,5,6,,,,,,,,,,,,,,,,,,
3,7,3,5,1,2,4,,6,,,,,,,,,,,,,,,,,,
3,8,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
