Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,,1,6,5,2,,3,4,,,,,,,,,,,,,,,,,1
1,2,6,1,6,6,6,6,6,6,6,,1,,6,,6,,6,,6,,6,,6,,1
1,3,3,4,2,7,1,8,6,5,,,,,,,,,,,,,,,,,
1,4,4,3,2,6,1,,5,,,,,,,,,,,,,,,,,,
1,5,2,3,4,5,1,,,,,,,,,,,,,,,,,,,,
1,6,4,,6,2,1,,5,3,,,,,,,,,,,,,,,,,
1,7,3,4,2,7,1,8,6,5,,,,,,,,,,,,,,,,,
1,8,2,4,6,5,1,7,,,,,,,,,,,,,,,,,,,
1,9,,,2,4,1,3,5,5,,,,,,,,,,,,,,,,,
1,10,5,4,2,,1,3,6,,,,,,,,,,,,,,,,,,
1,11,,,3,2,1,,,,,,,,4,,5,,6,,,,,,,,
1,12,,,5,6,1,3,2,4,,,,,,,,,,,,,,,,,
1,13,2,8,3,5,1,4,7,6,,,,,,,,,,,,,,,,,
1,14,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
1,15,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,16,1,8,2,5,6,4,7,3,1,1,,,,,,,,,,,,,,,
1,17,1,4,3,2,5,6,,,,,,,,,,,,,,,,,,,
1,18,1,4,5,3,,6,2,,,,,,,,,,,,,,,,,,
1,19,1,3,5,6,4,2,,,,,,,,,,,,,,,,,,,
1,20,1,3,2,4,6,5,,,,,,,,,,,,,,,,,,,
1,22,1,,2,4,3,,5,6,,,,,,,,,,,,,,,,,
1,23,1,3,4,2,5,6,,,,,,,,,,,,,,,,,,,
1,24,1,4,2,5,6,7,8,,,,,,,,,,,,,,,,,,
1,25,1,3,7,8,6,5,2,4,,,,,,,,,,,,,,,,,
1,26,1,,2,3,4,6,5,,2,1,,,1,6,4,1,5,1,,,,,,,
1,27,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,
1,28,1,3,2,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,29,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,30,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,
